sampleid,locid,substrate,batid,species,year,repro,use,dfresh,dmarine,dforcore,elev,slope,aspect,bldg060,bldg090,bldg120,bldg150,bldg180,bldg210,bldg240,bldg270,bldg300,bldg330,bldg360,road060,road090,road120,road150,road180,road210,road240,road270,road300,road330,road360,ptcc060,ptcc090,ptcc120,ptcc150,ptcc180,ptcc210,ptcc240,ptcc270,ptcc300,ptcc330,ptcc360,pdev060,pdev090,pdev120,pdev150,pdev180,pdev210,pdev240,pdev270,pdev300,pdev330,pdev360,pfor060,pfor090,pfor120,pfor150,pfor180,pfor210,pfor240,pfor270,pfor300,pfor330,pfor360,pgra060,pgra090,pgra120,pgra150,pgra180,pgra210,pgra240,pgra270,pgra300,pgra330,pgra360,pwet060,pwet090,pwet120,pwet150,pwet180,pwet210,pwet240,pwet270,pwet300,pwet330,pwet360
1,R001,Pole,MYSE.932,MYSE,2015,0,1,280.633342,93.283243,412.420087,9,10.02,0.37,3.536776514,2.357851009,2.652582385,2.263536968,1.866632048,1.732298701,1.602601858,1.44090895,1.343975075,1.315330108,1.252608348,510.453831,226.8683693,127.6134577,81.67261293,73.43263226,53.95050535,41.30585566,32.63672546,42.40778973,35.0477601,33.38659463,22.642857,23.321429,23.8,21.7,20.535088,19.696774,18.41,NA,NA,NA,NA,0.813879,0.697111,0.609231,0.533006,0.482864,0.45217,0.420537,0.386263,0.350422,0.330004,0.31862,0,0.044034,0.081831,0.110323,0.115875,0.100482,0.088414,0.089911,0.103933,0.124525,0.152198,0,0,0,0,0,0,0,0.002368,0.00761,0.012433,0.019585,0.186121,0.258855,0.308937,0.356671,0.401261,0.447348,0.491049,0.52205,0.545741,0.556901,0.546402
2,R002,Bldg,MYSE.960,MYSE,2015,0,1,166.815634,933.656775,90.661263,10,0,0.54,5.305164771,3.143801346,3.978873577,4.668544997,4.617458224,4.619463202,4.531494909,4.235399035,4.102660756,3.829072092,3.806946941,204.9458319,577.5738906,324.8853134,207.9266006,192.093336,160.4145824,174.4381176,137.8276484,124.3058453,128.0054253,111.3355523,49.25,44.333333,40.196078,37.820513,36.54955,34.967532,35.00995,NA,NA,NA,NA,0.995355,0.960118,0.940254,0.907643,0.887979,0.869908,0.858053,0.835001,0.803352,0.780966,0.765217,0,0,0,0,0.000856,0.008104,0.028505,0.06337,0.0931,0.114507,0.129652,0,0,0,0,0,0,0,0,0,0,0,0.004645,0.039882,0.059746,0.092357,0.112022,0.130092,0.13823,0.148736,0.166318,0.18361,0.200691
3,R003,Pole,MYSE.932,MYSE,2015,0,1,334.783196,66.729033,274.004577,11,0,0.54,2.652582386,2.750826177,2.873630917,3.112363331,2.849069968,2.742806276,2.597320253,2.357851009,2.086698143,2.046069057,1.866632049,660.8936906,293.7305291,165.2234226,145.610858,110.4227748,81.1269366,95.68944393,90.38251034,97.6033122,95.55557483,80.29322608,36.461538,33.566667,31.096154,31.113924,30.956522,31.167742,29.827586,NA,NA,NA,NA,0.573031,0.653414,0.628638,0.609354,0.587166,0.567642,0.546108,0.531223,0.511528,0.480236,0.452371,0.426969,0.272702,0.226049,0.194605,0.180442,0.163965,0.152563,0.132892,0.119949,0.128272,0.148599,0,0,0,0,0,0,0,0,0,0,0.000993,0,0.073885,0.145313,0.196042,0.232392,0.268394,0.30133,0.33707,0.379201,0.425857,0.460544
4,R004,Tree,MYSE.960,MYSE,2015,0,1,119.577839,983.456402,42.709708,6,26.57,-0.45,1.768388257,1.571900673,3.094679449,3.819718634,3.733264096,4.042030301,3.923611445,3.97341559,3.607512044,3.566006071,3.413971773,204.9458319,255.6273286,165.9434201,207.9266006,170.642207,125.3697848,169.8061649,147.5214121,138.8369188,117.5461612,121.8221988,58.769231,54.7,47.02,39.604938,36.827586,35.272727,34.870647,NA,NA,NA,NA,0.848974,0.889823,0.860764,0.829494,0.825213,0.832363,0.828967,0.81608,0.792511,0.767834,0.745625,0,0,0,0.005565,0.016104,0.025548,0.037339,0.063659,0.0905,0.113283,0.132743,0,0,0,0,0,0,0,0,0,0,0,0.151026,0.110177,0.139236,0.170506,0.174787,0.167637,0.169338,0.173283,0.183605,0.1944,0.204437
5,R005,Bldg,MYSE.960,MYSE,2015,0,1,205.342764,877.708599,193.895721,9,0,0.54,5.305164771,6.287602691,5.968310366,5.800313481,5.206920976,4.691642314,4.255184243,3.842423867,3.466040983,3.215251375,3.340288929,272.5742613,202.7018246,272.5809269,174.4517932,167.0406583,137.4430072,128.1246539,101.2342944,100.9353404,100.5172815,84.46243792,28.923077,28.5,31.673077,33.074074,33.267241,34.474026,34.705882,NA,NA,NA,NA,1,0.995228,0.979592,0.899061,0.820399,0.752671,0.690734,0.655181,0.650121,0.668509,0.675868,0,0,0.005911,0.071363,0.13558,0.168373,0.189833,0.196119,0.193874,0.181899,0.176595,0,0,0,0,0,0,0,0,0.00267,0.007057,0.012815,0,0.004772,0.014498,0.06622,0.12939,0.193552,0.261816,0.302485,0.298452,0.27457,0.257605
6,R006,Bldg,MYSE.785,MYSE,2015,0,1,163.332076,1218.62861,157.159473,16,0,0.54,3.536776514,4.32272685,4.642019174,4.810016058,4.322726848,4.114209414,4.034135711,3.755096052,3.748983104,3.682924303,3.708703149,586.9180481,546.4341402,337.0402249,262.1693506,211.4618503,179.3793322,178.5772197,146.5084366,118.6718337,139.8097722,141.1204401,32.818182,39.185185,43.489362,46.533333,48.369369,50.671233,51.94359,NA,NA,NA,NA,1,0.995339,0.962025,0.890911,0.848217,0.808343,0.772565,0.762666,0.764063,0.768326,0.764217,0,0.004661,0.037975,0.109089,0.151783,0.191657,0.227435,0.237334,0.235641,0.229285,0.228383,0,0,0,0,0,0,0,0,0.000296,0.002389,0.007399,0,0,0,0,0,0,0,0,0,0,0
7,R008,Bldg,MYSE.960,MYSE,2015,0,1,141.111625,739.913143,409.076382,9,0,0.54,2.652582386,2.750826177,2.210485321,2.122065908,2.063119632,1.876656926,2.099961055,2.270523194,2.369640264,2.455282868,2.505216697,69.24340097,229.538163,199.3716282,127.597842,88.60961251,93.63548838,71.6896708,56.6436905,99.67486994,104.9670928,99.23430098,31.636364,35.285714,33.469388,31.493506,29.752212,28.914474,28.25,NA,NA,NA,NA,0.283955,0.32917,0.346863,0.354801,0.372647,0.401109,0.41729,0.429023,0.458667,0.479169,0.500371,0.716045,0.621194,0.530939,0.470189,0.451258,0.423496,0.40587,0.404686,0.380305,0.356702,0.333341,0,0.007221,0.042618,0.067153,0.061354,0.061234,0.053389,0.042584,0.034836,0.029778,0.025921,0.709772,0.612104,0.49716,0.412718,0.398384,0.389058,0.392891,0.400176,0.390723,0.383295,0.375209
8,R009,Bldg,MYSE.812,MYSE,2015,1,1,53.403491,706.356538,381.165315,12,0,0.54,7.073553028,4.715702018,3.757825045,3.678247573,3.045557552,2.670627163,2.542058119,2.576170547,2.652582385,2.630660216,2.628021437,287.6833631,323.6011249,191.1794145,140.8688642,118.8110199,152.3506854,139.708584,134.1471718,138.0137517,124.9420611,125.7394446,54.5,48.4,48.307692,47.468354,46.13913,47.122581,48.25,NA,NA,NA,NA,0.370768,0.459014,0.521988,0.554603,0.53114,0.500716,0.476704,0.491737,0.525535,0.564431,0.599976,0.550371,0.464025,0.396694,0.338334,0.352776,0.38674,0.42345,0.423026,0.399464,0.37021,0.337501,0,0,0,0,0,0.000477,0.005151,0.011698,0.016135,0.015444,0.016379,0.078861,0.076961,0.081318,0.132492,0.184065,0.206654,0.206716,0.192176,0.173187,0.151845,0.132924
9,R010,Bldg,MYSE.812,MYSE,2015,1,1,106.623371,586.530618,384.31819,14,0,0.54,3.536776514,3.143801346,3.536776513,3.253834392,2.849069968,2.959343614,2.818368785,2.8818179,2.723317915,2.5722011,2.529777645,691.0762416,634.3160172,398.0471436,288.1492424,304.8487873,229.9260835,187.7441102,164.8527538,154.7971418,149.4127252,139.9110915,43.461538,41,39.72549,39.6625,40.513514,41.445161,41.863636,NA,NA,NA,NA,0.861507,0.799296,0.774447,0.711797,0.684225,0.676348,0.67306,0.665311,0.662704,0.654612,0.644257,0.138493,0.200704,0.220207,0.271867,0.29743,0.306561,0.293788,0.281087,0.26231,0.2494,0.244083,0,0,0,0,0,0.000587,0.008733,0.025301,0.03,0.03486,0.031479,0,0,0.005347,0.037147,0.05169,0.056806,0.070729,0.082274,0.105143,0.128219,0.150309
10,R011,Tree,MYSE.812,MYSE,2015,1,1,17.628649,653.586639,390.579765,8,26.57,1,3.536776514,4.715702018,3.536776513,3.112363331,3.143801344,2.887164501,2.37627172,2.226859287,2.228169203,2.338364637,2.603460489,173.6885092,77.19489298,153.4249356,219.5834808,240.2646562,214.313005,182.4550193,152.5208348,137.5746507,146.9414487,139.8041859,53.153846,50.321429,45.4,42.341772,43.18018,42.554839,42.226131,NA,NA,NA,NA,0.108657,0.331892,0.451992,0.558054,0.607353,0.597819,0.581229,0.587194,0.605083,0.632222,0.656558,0.808339,0.586333,0.490247,0.381902,0.331133,0.335374,0.34748,0.344472,0.326981,0.302365,0.277762,0,0,0,0,0,0,0,0,0.011327,0.017782,0.02245,0.083003,0.081775,0.05776,0.060044,0.062681,0.092211,0.133278,0.149869,0.153168,0.141353,0.126866
11,R012,Bldg,MYSE.812,MYSE,2015,1,1,66.812898,782.55892,355.369173,11,29.21,0.91,6.1893589,5.108677186,3.315727981,2.546479089,2.554338592,2.742806276,2.818368785,2.70716227,2.475743559,2.484512426,2.578899541,0,246.406232,138.6035055,88.70624349,84.96862865,80.97328004,61.99516754,85.20832433,112.3013019,117.0390189,113.1802882,55.461538,48.75,43.764706,43.625,47.431034,49.283871,50.306931,NA,NA,NA,NA,0.299208,0.393855,0.442368,0.492974,0.490154,0.461552,0.427544,0.414639,0.4477,0.496309,0.535223,0.645337,0.424958,0.325676,0.28224,0.330058,0.398965,0.464791,0.491364,0.466201,0.425104,0.39052,0,0,0,0,0,0,0.002579,0.010842,0.017029,0.019543,0.021086,0.055455,0.181187,0.231956,0.23779,0.247223,0.263591,0.256521,0.236455,0.19901,0.1682,0.14501
