"","spp","samples","var","scale","AICc","delta","df"
"bldg360","epfu","40","bldg","360",247.805322033878,0,3
"bldg330","epfu","40","bldg","330",248.17619326641,0.3709,3
"bldg300","epfu","40","bldg","300",248.492938880268,0.6876,3
"bldg270","epfu","40","bldg","270",249.051927309491,1.2466,3
"bldg240","epfu","40","bldg","240",249.484706910104,1.6794,3
"bldg210","epfu","40","bldg","210",249.979211879954,2.1739,3
"bldg180","epfu","40","bldg","180",250.278088547881,2.4728,3
"bldg060","epfu","40","bldg","060",250.4063090448,2.601,3
"bldg090","epfu","40","bldg","090",250.444699148567,2.6394,3
"bldg120","epfu","40","bldg","120",250.4619284042,2.6566,3
"bldg150","epfu","40","bldg","150",250.468455776998,2.6631,3
