"","spp","samples","var","scale","AICc","delta"
"bldg360","epfu","90","bldg","360",289.772602025476,0
"bldg330","epfu","90","bldg","330",290.125171688425,0.3526
"bldg300","epfu","90","bldg","300",290.438157178313,0.6656
"bldg270","epfu","90","bldg","270",290.952942908232,1.1803
"bldg240","epfu","90","bldg","240",291.348167324374,1.5756
"bldg210","epfu","90","bldg","210",291.810674711416,2.0381
"bldg180","epfu","90","bldg","180",292.090982050767,2.3184
"bldg060","epfu","90","bldg","060",292.165211740989,2.3926
"bldg090","epfu","90","bldg","090",292.236840152165,2.4642
"bldg120","epfu","90","bldg","120",292.2578748128,2.4853
"bldg150","epfu","90","bldg","150",292.273395945245,2.5008
