"","spp","samples","var","scale","AICc","delta"
"bldg360","epfu","100","bldg","360",295.113358355778,0
"bldg330","epfu","100","bldg","330",295.456790285782,0.3434
"bldg300","epfu","100","bldg","300",295.76910087237,0.6557
"bldg270","epfu","100","bldg","270",296.286512875879,1.1732
"bldg240","epfu","100","bldg","240",296.690192910269,1.5768
"bldg210","epfu","100","bldg","210",297.172216859593,2.0589
"bldg180","epfu","100","bldg","180",297.476844488502,2.3635
"bldg060","epfu","100","bldg","060",297.684232839101,2.5709
"bldg150","epfu","100","bldg","150",297.698437729157,2.5851
"bldg090","epfu","100","bldg","090",297.721096834956,2.6077
"bldg120","epfu","100","bldg","120",297.729393846832,2.616
