"","spp","samples","var","scale","AICc","delta","df"
"pdev360","epfu","90","pdev","360",290.14721854655,0,3
"pdev330","epfu","90","pdev","330",290.361384760552,0.2142,3
"pdev300","epfu","90","pdev","300",290.641569470062,0.4944,3
"pdev270","epfu","90","pdev","270",291.000229807111,0.853,3
"pdev240","epfu","90","pdev","240",291.291482177737,1.1443,3
"pdev210","epfu","90","pdev","210",291.690182698065,1.543,3
"pdev180","epfu","90","pdev","180",291.915518389354,1.7683,3
"pdev150","epfu","90","pdev","150",292.106587411303,1.9594,3
"pdev120","epfu","90","pdev","120",292.262034490677,2.1148,3
"pdev060","epfu","90","pdev","060",292.285055548109,2.1378,3
"pdev090","epfu","90","pdev","090",292.287945185895,2.1407,3
