"","spp","samples","var","scale","AICc","delta"
"pdev360","epfu","100","pdev","360",295.58109005283,0
"pdev330","epfu","100","pdev","330",295.792497216963,0.2114
"pdev300","epfu","100","pdev","300",296.071934515576,0.4908
"pdev270","epfu","100","pdev","270",296.431880022327,0.8508
"pdev240","epfu","100","pdev","240",296.724129350879,1.143
"pdev210","epfu","100","pdev","210",297.126200077231,1.5451
"pdev180","epfu","100","pdev","180",297.354012428602,1.7729
"pdev150","epfu","100","pdev","150",297.548340945131,1.9673
"pdev120","epfu","100","pdev","120",297.708360129001,2.1273
"pdev060","epfu","100","pdev","060",297.735281407692,2.1542
"pdev090","epfu","100","pdev","090",297.73666763754,2.1556
