"","spp","samples","var","scale","AICc","delta"
"pfor360","epfu","90","pfor","360",289.4419721503,0
"pfor330","epfu","90","pfor","330",289.665763319218,0.2238
"pfor300","epfu","90","pfor","300",289.977876023651,0.5359
"pfor270","epfu","90","pfor","270",290.2821612379,0.8402
"pfor240","epfu","90","pfor","240",290.532835958349,1.0909
"pfor210","epfu","90","pfor","210",290.963643623917,1.5217
"pfor180","epfu","90","pfor","180",291.272320795832,1.8303
"pfor150","epfu","90","pfor","150",291.66232019327,2.2203
"pfor120","epfu","90","pfor","120",292.119362766527,2.6774
"pfor090","epfu","90","pfor","090",292.265207015896,2.8232
"pfor060","epfu","90","pfor","060",292.287982595026,2.846
