"","spp","samples","var","scale","AICc","delta","df"
"pgra300","epfu","40","pgra","300",248.106225101306,0,3
"pgra330","epfu","40","pgra","330",248.128918498726,0.0227,3
"pgra210","epfu","40","pgra","210",248.189285603973,0.0831,3
"pgra240","epfu","40","pgra","240",248.232901671823,0.1267,3
"pgra180","epfu","40","pgra","180",248.362144191382,0.2559,3
"pgra270","epfu","40","pgra","270",248.386363685076,0.2801,3
"pgra360","epfu","40","pgra","360",248.447028460214,0.3408,3
"pgra150","epfu","40","pgra","150",248.717607650928,0.6114,3
"pgra120","epfu","40","pgra","120",249.455777571259,1.3496,3
"pgra060","epfu","40","pgra","060",249.458884709932,1.3527,3
"pgra090","epfu","40","pgra","090",249.708768614617,1.6025,3
