"","spp","samples","var","scale","AICc","delta"
"pwet270","epfu","10","pwet","270",179.299534885035,0
"pwet300","epfu","10","pwet","300",179.305065123795,0.0055
"pwet240","epfu","10","pwet","240",179.454418999597,0.1549
"pwet330","epfu","10","pwet","330",179.456228474657,0.1567
"pwet360","epfu","10","pwet","360",179.59645693751,0.2969
"pwet210","epfu","10","pwet","210",179.642825279849,0.3433
"pwet060","epfu","10","pwet","060",179.870578267939,0.571
"pwet180","epfu","10","pwet","180",179.917141248407,0.6176
"pwet090","epfu","10","pwet","090",180.062636977543,0.7631
"pwet150","epfu","10","pwet","150",180.253256793449,0.9537
"pwet120","epfu","10","pwet","120",180.270813969219,0.9713
