"","spp","samples","var","scale","AICc","delta"
"road180","epfu","70","road","180",277.341831097116,0
"road360","epfu","70","road","360",278.310306807834,0.9685
"road330","epfu","70","road","330",278.507905335619,1.1661
"road120","epfu","70","road","120",278.75559785152,1.4138
"road210","epfu","70","road","210",278.770284541376,1.4285
"road150","epfu","70","road","150",278.847096397733,1.5053
"road060","epfu","70","road","060",279.081947867011,1.7401
"road300","epfu","70","road","300",279.110987791329,1.7692
"road090","epfu","70","road","090",279.255628474905,1.9138
"road270","epfu","70","road","270",279.276624298655,1.9348
"road240","epfu","70","road","240",279.295353691919,1.9535
