"","spp","samples","var","scale","AICc","delta"
"road180","epfu","100","road","180",296.024886324295,0
"road360","epfu","100","road","360",296.744525685733,0.7196
"road330","epfu","100","road","330",296.940124491038,0.9152
"road120","epfu","100","road","120",297.265909690067,1.241
"road210","epfu","100","road","210",297.310866162591,1.286
"road150","epfu","100","road","150",297.371173824695,1.3463
"road060","epfu","100","road","060",297.517097395264,1.4922
"road300","epfu","100","road","300",297.523499094933,1.4986
"road090","epfu","100","road","090",297.674682450111,1.6498
"road270","epfu","100","road","270",297.702135558091,1.6772
"road240","epfu","100","road","240",297.735155679288,1.7103
