"","spp","samples","var","scale","AICc","delta","df"
"bldg060","myse","10","bldg","060",140.747670008191,0,3
"bldg090","myse","10","bldg","090",144.519840533935,3.7722,3
"bldg120","myse","10","bldg","120",145.409999645715,4.6623,3
"bldg150","myse","10","bldg","150",145.913800300224,5.1661,3
"bldg330","myse","10","bldg","330",145.979989261191,5.2323,3
"bldg360","myse","10","bldg","360",146.002635894237,5.255,3
"bldg300","myse","10","bldg","300",146.247659703722,5.5,3
"bldg180","myse","10","bldg","180",146.587333818367,5.8397,3
"bldg270","myse","10","bldg","270",146.622716949511,5.875,3
"bldg240","myse","10","bldg","240",146.794728175772,6.0471,3
"bldg210","myse","10","bldg","210",146.835711578986,6.088,3
