"","spp","samples","var","scale","AICc","delta"
"pdev150","myse","70","pdev","150",226.602033598583,0
"pdev120","myse","70","pdev","120",226.63616732918,0.0341
"pdev180","myse","70","pdev","180",226.675493443674,0.0735
"pdev090","myse","70","pdev","090",226.707753756048,0.1057
"pdev270","myse","70","pdev","270",226.718089302703,0.1161
"pdev300","myse","70","pdev","300",226.720396010841,0.1184
"pdev060","myse","70","pdev","060",226.723641896628,0.1216
"pdev330","myse","70","pdev","330",226.728394436932,0.1264
"pdev360","myse","70","pdev","360",226.739921428393,0.1379
"pdev240","myse","70","pdev","240",226.742424016433,0.1404
"pdev210","myse","70","pdev","210",226.745049574473,0.143
