"","spp","samples","var","scale","AICc","delta"
"pdev150","myse","100","pdev","150",241.456129126364,0
"pdev120","myse","100","pdev","120",241.495260436345,0.0391
"pdev180","myse","100","pdev","180",241.540549573253,0.0844
"pdev090","myse","100","pdev","090",241.576677140742,0.1205
"pdev270","myse","100","pdev","270",241.610980799911,0.1549
"pdev300","myse","100","pdev","300",241.61272571455,0.1566
"pdev330","myse","100","pdev","330",241.619787431628,0.1637
"pdev060","myse","100","pdev","060",241.622116684681,0.166
"pdev210","myse","100","pdev","210",241.625302357476,0.1692
"pdev360","myse","100","pdev","360",241.629296180866,0.1732
"pdev240","myse","100","pdev","240",241.632694528029,0.1766
