"","spp","samples","var","scale","AICc","delta","df"
"pfor150","myse","30","pfor","150",191.450161356111,0,3
"pfor120","myse","30","pfor","120",191.478949910252,0.0288,3
"pfor060","myse","30","pfor","060",191.486600071464,0.0364,3
"pfor270","myse","30","pfor","270",191.511723790071,0.0616,3
"pfor240","myse","30","pfor","240",191.541422656016,0.0913,3
"pfor180","myse","30","pfor","180",191.542489458395,0.0923,3
"pfor300","myse","30","pfor","300",191.5513352545,0.1012,3
"pfor090","myse","30","pfor","090",191.562704096893,0.1125,3
"pfor360","myse","30","pfor","360",191.563276535616,0.1131,3
"pfor330","myse","30","pfor","330",191.57878328236,0.1286,3
"pfor210","myse","30","pfor","210",191.579246275382,0.1291,3
