"","spp","samples","var","scale","AICc","delta"
"pgra090","myse","90","pgra","090",232.124358121711,0
"pgra060","myse","90","pgra","060",232.244515567848,0.1202
"pgra120","myse","90","pgra","120",233.0010658152,0.8767
"pgra150","myse","90","pgra","150",233.31671662708,1.1924
"pgra180","myse","90","pgra","180",233.793326993076,1.669
"pgra210","myse","90","pgra","210",234.663897779297,2.5395
"pgra240","myse","90","pgra","240",235.075803123068,2.9514
"pgra270","myse","90","pgra","270",235.525015663899,3.4007
"pgra300","myse","90","pgra","300",236.195056709655,4.0707
"pgra330","myse","90","pgra","330",236.882489944215,4.7581
"pgra360","myse","90","pgra","360",237.197222508932,5.0729
