"","spp","samples","var","scale","AICc","delta","df"
"pwet360","myse","40","pwet","360",202.934881191793,0,3
"pwet330","myse","40","pwet","330",202.948159479238,0.0133,3
"pwet300","myse","40","pwet","300",202.996424737305,0.0615,3
"pwet270","myse","40","pwet","270",203.154234887951,0.2194,3
"pwet240","myse","40","pwet","240",203.359988609475,0.4251,3
"pwet060","myse","40","pwet","060",203.451806301227,0.5169,3
"pwet120","myse","40","pwet","120",203.452414926631,0.5175,3
"pwet090","myse","40","pwet","090",203.456428008849,0.5215,3
"pwet150","myse","40","pwet","150",203.46075125334,0.5259,3
"pwet210","myse","40","pwet","210",203.465483963149,0.5306,3
"pwet180","myse","40","pwet","180",203.477519378799,0.5426,3
