"","spp","samples","var","scale","AICc","delta"
"pwet360","myse","70","pwet","360",226.505840499464,0
"pwet330","myse","70","pwet","330",226.514223063978,0.0084
"pwet300","myse","70","pwet","300",226.543359190147,0.0375
"pwet270","myse","70","pwet","270",226.628984933755,0.1231
"pwet150","myse","70","pwet","150",226.686234147664,0.1804
"pwet120","myse","70","pwet","120",226.695756610535,0.1899
"pwet180","myse","70","pwet","180",226.711170355081,0.2053
"pwet090","myse","70","pwet","090",226.713500034038,0.2077
"pwet060","myse","70","pwet","060",226.717027977005,0.2112
"pwet240","myse","70","pwet","240",226.728448643748,0.2226
"pwet210","myse","70","pwet","210",226.750223202129,0.2444
