"","spp","samples","var","scale","AICc","delta","df"
"pwet360","myse","100","pwet","360",241.299102339764,0,3
"pwet330","myse","100","pwet","330",241.31675214841,0.0176,3
"pwet300","myse","100","pwet","300",241.360729077791,0.0616,3
"pwet270","myse","100","pwet","270",241.467302855853,0.1682,3
"pwet240","myse","100","pwet","240",241.594521032256,0.2954,3
"pwet150","myse","100","pwet","150",241.59747989106,0.2984,3
"pwet120","myse","100","pwet","120",241.604596061959,0.3055,3
"pwet060","myse","100","pwet","060",241.613012739504,0.3139,3
"pwet090","myse","100","pwet","090",241.613503425472,0.3144,3
"pwet180","myse","100","pwet","180",241.615513832769,0.3164,3
"pwet210","myse","100","pwet","210",241.637611088314,0.3385,3
