"","spp","samples","var","scale","AICc","delta","df"
"road090","myse","20","road","090",172.359139896898,0,3
"road270","myse","20","road","270",173.553054104261,1.1939,3
"road300","myse","20","road","300",174.073365557706,1.7142,3
"road210","myse","20","road","210",174.193785194863,1.8346,3
"road150","myse","20","road","150",174.251711370233,1.8926,3
"road360","myse","20","road","360",174.315415237278,1.9563,3
"road240","myse","20","road","240",174.527019411133,2.1679,3
"road180","myse","20","road","180",174.563561379223,2.2044,3
"road330","myse","20","road","330",174.621113243886,2.262,3
"road120","myse","20","road","120",174.824136654923,2.465,3
"road060","myse","20","road","060",174.891505409856,2.5324,3
