"","spp","samples","var","scale","AICc","delta","df"
"road090","myse","100","road","090",239.245275513461,0,3
"road270","myse","100","road","270",240.851424138965,1.6061,3
"road150","myse","100","road","150",241.291925881985,2.0467,3
"road300","myse","100","road","300",241.34078478247,2.0955,3
"road360","myse","100","road","360",241.359561569302,2.1143,3
"road210","myse","100","road","210",241.38990061551,2.1446,3
"road120","myse","100","road","120",241.412684779144,2.1674,3
"road240","myse","100","road","240",241.48898072256,2.2437,3
"road330","myse","100","road","330",241.5986085274,2.3533,3
"road180","myse","100","road","180",241.610961548934,2.3657,3
"road060","myse","100","road","060",241.630814598861,2.3855,3
