"","spp","samples","var","scale","AICc","delta"
"bldg360","epfu","100","bldg","360",293.108779951913,0
"bldg330","epfu","100","bldg","330",293.452211881925,0.3434
"bldg300","epfu","100","bldg","300",293.764522468513,0.6557
"bldg270","epfu","100","bldg","270",294.281934472016,1.1732
"bldg240","epfu","100","bldg","240",294.685614506403,1.5768
"bldg210","epfu","100","bldg","210",295.167638455731,2.0589
"bldg180","epfu","100","bldg","180",295.47226608463,2.3635
"bldg060","epfu","100","bldg","060",295.679654435247,2.5709
"bldg150","epfu","100","bldg","150",295.693859325301,2.5851
"bldg090","epfu","100","bldg","090",295.716518431103,2.6077
"bldg120","epfu","100","bldg","120",295.72481544299,2.616
