"","spp","samples","var","scale","AICc","delta"
"pdev360","epfu","100","pdev","360",293.576511648969,0
"pdev330","epfu","100","pdev","330",293.78791881311,0.2114
"pdev300","epfu","100","pdev","300",294.067356111718,0.4908
"pdev270","epfu","100","pdev","270",294.427301618469,0.8508
"pdev240","epfu","100","pdev","240",294.719550947027,1.143
"pdev210","epfu","100","pdev","210",295.121621673374,1.5451
"pdev180","epfu","100","pdev","180",295.349434024748,1.7729
"pdev150","epfu","100","pdev","150",295.543762541282,1.9673
"pdev120","epfu","100","pdev","120",295.70378172515,2.1273
"pdev060","epfu","100","pdev","060",295.730703003834,2.1542
"pdev090","epfu","100","pdev","090",295.732089233684,2.1556
