"","spp","samples","var","scale","AICc","delta"
"pfor360","epfu","100","pfor","360",292.82996169231,0
"pfor330","epfu","100","pfor","330",293.054805876333,0.2248
"pfor300","epfu","100","pfor","300",293.370085873005,0.5401
"pfor270","epfu","100","pfor","270",293.678153588043,0.8482
"pfor240","epfu","100","pfor","240",293.929270578448,1.0993
"pfor210","epfu","100","pfor","210",294.360679357987,1.5307
"pfor180","epfu","100","pfor","180",294.673305586318,1.8433
"pfor150","epfu","100","pfor","150",295.073067793156,2.2431
"pfor120","epfu","100","pfor","120",295.545991216901,2.716
"pfor090","epfu","100","pfor","090",295.702496211369,2.8725
"pfor060","epfu","100","pfor","060",295.731545246283,2.9016
