"","spp","samples","var","scale","AICc","delta"
"pgra300","epfu","100","pgra","300",293.121053097628,0
"pgra330","epfu","100","pgra","330",293.142498920375,0.0214
"pgra210","epfu","100","pgra","210",293.2197224936,0.0987
"pgra240","epfu","100","pgra","240",293.272989869456,0.1519
"pgra270","epfu","100","pgra","270",293.408043952142,0.287
"pgra180","epfu","100","pgra","180",293.449212866326,0.3282
"pgra360","epfu","100","pgra","360",293.484237286268,0.3632
"pgra150","epfu","100","pgra","150",293.855160345708,0.7341
"pgra060","epfu","100","pgra","060",294.674241926194,1.5532
"pgra120","epfu","100","pgra","120",294.681555882856,1.5605
"pgra090","epfu","100","pgra","090",294.923215807764,1.8022
