"","spp","samples","var","scale","AICc","delta"
"pwet060","epfu","100","pwet","060",294.464739056262,0
"pwet090","epfu","100","pwet","090",294.63346295923,0.1687
"pwet120","epfu","100","pwet","120",294.984346267613,0.5196
"pwet150","epfu","100","pwet","150",295.590203587573,1.1255
"pwet300","epfu","100","pwet","300",295.6669035059,1.2022
"pwet270","epfu","100","pwet","270",295.6712211345,1.2065
"pwet330","epfu","100","pwet","330",295.689237209864,1.2245
"pwet240","epfu","100","pwet","240",295.689823617393,1.2251
"pwet360","epfu","100","pwet","360",295.707399051719,1.2427
"pwet210","epfu","100","pwet","210",295.717500297793,1.2528
"pwet180","epfu","100","pwet","180",295.729916952417,1.2652
