"","spp","samples","var","scale","AICc","delta"
"road180","epfu","100","road","180",294.020307920442,0
"road360","epfu","100","road","360",294.739947281871,0.7196
"road330","epfu","100","road","330",294.93554608718,0.9152
"road120","epfu","100","road","120",295.261331286202,1.241
"road210","epfu","100","road","210",295.306287758737,1.286
"road150","epfu","100","road","150",295.366595420843,1.3463
"road060","epfu","100","road","060",295.512518991407,1.4922
"road300","epfu","100","road","300",295.51892069108,1.4986
"road090","epfu","100","road","090",295.670104046244,1.6498
"road270","epfu","100","road","270",295.697557154235,1.6772
"road240","epfu","100","road","240",295.730577275428,1.7103
