"","spp","samples","var","scale","AICc","delta"
"bldg060","myse","100","bldg","060",234.654538071985,0
"bldg090","myse","100","bldg","090",238.171682440024,3.5171
"bldg120","myse","100","bldg","120",238.706278691962,4.0517
"bldg330","myse","100","bldg","330",238.751087654643,4.0965
"bldg360","myse","100","bldg","360",238.831181153773,4.1766
"bldg300","myse","100","bldg","300",239.007648388121,4.3531
"bldg150","myse","100","bldg","150",239.01265351688,4.3581
"bldg270","myse","100","bldg","270",239.372758533124,4.7182
"bldg180","myse","100","bldg","180",239.506114337161,4.8516
"bldg240","myse","100","bldg","240",239.559262151681,4.9047
"bldg210","myse","100","bldg","210",239.631853222979,4.9773
