"","spp","samples","var","scale","AICc","delta"
"pdev150","myse","100","pdev","150",239.450458051388,0
"pdev120","myse","100","pdev","120",239.489589361373,0.0391
"pdev180","myse","100","pdev","180",239.534878498278,0.0844
"pdev090","myse","100","pdev","090",239.571006065764,0.1205
"pdev270","myse","100","pdev","270",239.605309724937,0.1549
"pdev300","myse","100","pdev","300",239.607054639576,0.1566
"pdev330","myse","100","pdev","330",239.614116356653,0.1637
"pdev060","myse","100","pdev","060",239.616445609706,0.166
"pdev210","myse","100","pdev","210",239.6196312825,0.1692
"pdev360","myse","100","pdev","360",239.623625105891,0.1732
"pdev240","myse","100","pdev","240",239.627023453054,0.1766
