"","spp","samples","var","scale","AICc","delta"
"pfor150","myse","100","pfor","150",239.417785696627,0
"pfor120","myse","100","pfor","120",239.458334146722,0.0405
"pfor180","myse","100","pfor","180",239.545659530175,0.1279
"pfor360","myse","100","pfor","360",239.57460396799,0.1568
"pfor090","myse","100","pfor","090",239.580960960714,0.1632
"pfor060","myse","100","pfor","060",239.585140983169,0.1674
"pfor270","myse","100","pfor","270",239.605448369327,0.1877
"pfor240","myse","100","pfor","240",239.621940180847,0.2042
"pfor210","myse","100","pfor","210",239.625379344402,0.2076
"pfor330","myse","100","pfor","330",239.626415290385,0.2086
"pfor300","myse","100","pfor","300",239.627615104288,0.2098
