"","spp","samples","var","scale","AICc","delta"
"pgra090","myse","100","pgra","090",234.496412039034,0
"pgra060","myse","100","pgra","060",234.673999825454,0.1776
"pgra120","myse","100","pgra","120",235.378527163846,0.8821
"pgra150","myse","100","pgra","150",235.657907545823,1.1615
"pgra180","myse","100","pgra","180",236.129530124015,1.6331
"pgra210","myse","100","pgra","210",236.980730583397,2.4843
"pgra240","myse","100","pgra","240",237.375613780842,2.8792
"pgra270","myse","100","pgra","270",237.814887610824,3.3185
"pgra300","myse","100","pgra","300",238.495728915417,3.9993
"pgra330","myse","100","pgra","330",239.215569121821,4.7192
"pgra360","myse","100","pgra","360",239.568293664343,5.0719
