"","spp","samples","var","scale","AICc","delta"
"pwet360","myse","100","pwet","360",239.29343126479,0
"pwet330","myse","100","pwet","330",239.311081073436,0.0176
"pwet300","myse","100","pwet","300",239.355058002819,0.0616
"pwet270","myse","100","pwet","270",239.461631780877,0.1682
"pwet240","myse","100","pwet","240",239.588849957282,0.2954
"pwet150","myse","100","pwet","150",239.591808816087,0.2984
"pwet120","myse","100","pwet","120",239.598924986993,0.3055
"pwet060","myse","100","pwet","060",239.607341664544,0.3139
"pwet090","myse","100","pwet","090",239.607832350484,0.3144
"pwet180","myse","100","pwet","180",239.609842757789,0.3164
"pwet210","myse","100","pwet","210",239.631940013347,0.3385
