"","spp","samples","var","scale","AICc","delta"
"road090","myse","100","road","090",237.239604438487,0
"road270","myse","100","road","270",238.84575306399,1.6061
"road150","myse","100","road","150",239.28625480701,2.0467
"road300","myse","100","road","300",239.335113707493,2.0955
"road360","myse","100","road","360",239.353890494324,2.1143
"road210","myse","100","road","210",239.384229540535,2.1446
"road120","myse","100","road","120",239.407013704167,2.1674
"road240","myse","100","road","240",239.483309647585,2.2437
"road330","myse","100","road","330",239.592937452424,2.3533
"road180","myse","100","road","180",239.605290473959,2.3657
"road060","myse","100","road","060",239.62514352388,2.3855
