"","dfresh","dmarine","dforcore","elev","slope","aspect","bldg","road","ptcc","pdev","pfor","pgra","pwet"
"dfresh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dmarine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dforcore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"elev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"slope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aspect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bldg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ptcc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pdev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.89,NA,NA
"pfor",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.89,NA,NA,NA
"pgra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pwet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
