,(Intercept),aspect,dforcore,dfresh,dmarine,elev,pgra,ptcc,pwet,road,slope,df,logLik,AICc,delta,weight
454,-5.511410477,-0.288936388,NA,-1.431800218,NA,NA,NA,0.743239067,-0.493224751,0.446426209,NA,7,-128.4241003,270.8909814,0,0.037497021
456,-5.615974346,-0.285508832,0.252660384,-1.501538135,NA,NA,NA,0.833733863,-0.528107804,0.424315609,NA,8,-127.5779752,271.2109752,0.319993818,0.031952953
464,-5.801093675,-0.290022828,0.369516368,-1.488821138,0.343703595,NA,NA,0.844914835,-0.495519735,0.387593733,NA,9,-126.8476872,271.7641817,0.873200279,0.024231692
326,-5.363957988,-0.285762277,NA,-1.329417483,NA,NA,NA,0.694229097,NA,0.441179386,NA,6,-129.9951717,272.0224168,1.131435425,0.021296522
462,-5.539902512,-0.28073709,NA,-1.396871254,0.202582397,NA,NA,0.618972482,-0.463638991,0.427836672,NA,8,-128.0012816,272.0575881,1.166606717,0.020925283
453,-5.473893079,NA,NA,-1.435855621,NA,NA,NA,0.801533853,-0.482966483,0.439691864,NA,6,-130.2779208,272.5879148,1.696933443,0.016051379
966,-5.524098389,-0.346676062,NA,-1.455180843,NA,NA,NA,0.750311677,-0.494996333,0.436468212,-0.124657381,8,-128.2797207,272.6144663,1.723484924,0.015839694
328,-5.442910852,-0.282572689,0.218352868,-1.374275148,NA,NA,NA,0.773578953,NA,0.424561206,NA,7,-129.3363605,272.7155018,1.824520386,0.015059384
336,-5.707559916,-0.293880243,0.3632879,-1.388363036,0.404633884,NA,NA,0.848149976,NA,0.379582691,NA,8,-128.385458,272.8259409,1.934959534,0.014250354
455,-5.573486776,NA,0.255654568,-1.499329373,NA,NA,NA,0.88825814,-0.518037601,0.416305076,NA,7,-129.3993417,272.8414641,1.950482756,0.014140176
968,-5.631639289,-0.349032984,0.25832842,-1.530629983,NA,NA,NA,0.842320681,-0.530021009,0.411731658,-0.138759478,9,-127.398122,272.8650514,1.974070063,0.013974391
470,-5.517250263,-0.289306656,NA,-1.448595781,NA,0.039167258,NA,0.717415609,-0.476831657,0.450102456,NA,8,-128.4105825,272.8761899,1.985208482,0.013896781
