,(Intercept),aspect,dforcore,dfresh,dmarine,elev,pgra,ptcc,pwet,road,slope,df,logLik,AICc,delta,weight
454,-5.511410477,-0.288936388,NA,-1.431800218,NA,NA,NA,0.743239067,-0.493224751,0.446426209,NA,6,-128.4241003,268.8802739,0,0.038104039
456,-5.615974347,-0.285508832,0.252660384,-1.501538136,NA,NA,NA,0.833733863,-0.528107805,0.424315609,NA,7,-127.5779752,269.1987311,0.318457168,0.032495177
464,-5.668004591,-0.274762087,0.299235872,-1.454237755,0.26973301,NA,NA,0.684813856,-0.495249166,0.399478944,NA,8,-126.8758608,269.8067464,0.926472476,0.023976736
326,-5.363957865,-0.285762278,NA,-1.32941733,NA,NA,NA,0.694229086,NA,0.441179388,NA,5,-129.9951717,270.0132442,1.132970316,0.021624677
462,-5.539902512,-0.28073709,NA,-1.396871254,0.202582397,NA,NA,0.618972482,-0.463638991,0.427836672,NA,7,-128.0012816,270.045344,1.165070067,0.021280374
453,-5.473893079,NA,NA,-1.435855621,NA,NA,NA,0.801533853,-0.482966483,0.439691864,NA,5,-130.2779208,270.5787423,1.698468334,0.016298712
966,-5.524098389,-0.346676062,NA,-1.455180843,NA,NA,NA,0.750311677,-0.494996333,0.436468212,-0.124657381,7,-128.2797207,270.6022222,1.721948273,0.016108485
328,-5.44291073,-0.28257269,0.218352865,-1.374274996,NA,NA,NA,0.773578943,NA,0.424561209,NA,6,-129.3363605,270.7047943,1.824520386,0.015303171
455,-5.573486776,NA,0.255654568,-1.499329373,NA,NA,NA,0.88825814,-0.518037601,0.416305076,NA,6,-129.3993417,270.8307567,1.950482756,0.014369083
968,-5.631639289,-0.349032984,0.25832842,-1.530629983,NA,NA,NA,0.842320681,-0.53002101,0.411731658,-0.138759478,8,-127.398122,270.8512689,1.970994999,0.014222465
470,-5.517250263,-0.289306656,NA,-1.448595781,NA,0.039167258,NA,0.717415609,-0.476831657,0.450102456,NA,7,-128.4105825,270.8639458,1.983671831,0.014132602
486,-5.506598342,-0.288617937,NA,-1.438275763,NA,NA,0.046913256,0.750939288,-0.493823547,0.446358392,NA,7,-128.418303,270.8793868,1.999112899,0.014023911
