,(Intercept),aspect,bldg,dforcore,dfresh,dmarine,elev,pfor,pgra,ptcc,pwet,road,slope,df,logLik,AICc,delta,weight
676,-5.978513229,0.499490461,1.056048167,NA,NA,NA,0.799080359,NA,-5.287429132,NA,0.386912794,NA,NA,7,-107.6598389,229.372683,0,0.012447779
932,-6.356098598,0.525528605,0.825441844,NA,NA,NA,0.935391878,NA,-6.37361762,-0.536346513,0.412015371,NA,NA,8,-106.6678556,229.403893,0.031210017,0.012255039
1700,-6.058493214,0.502576943,1.024096553,NA,NA,NA,0.775659835,NA,-5.339593052,NA,0.405683584,0.281745149,NA,8,-106.9535768,229.9753353,0.602652363,0.00920932
675,-5.935840402,NA,1.011680171,NA,NA,NA,0.775875449,NA,-5.443185292,NA,0.355949238,NA,NA,6,-109.0326351,230.1050053,0.7323223,0.008631178
1956,-6.425587963,0.523448262,0.818700232,NA,NA,NA,0.911341575,NA,-6.419934175,-0.498916918,0.434113567,0.256486065,NA,9,-106.107934,230.3011356,0.928452604,0.007824939
931,-6.283358147,NA,0.773415257,NA,NA,NA,0.898314708,NA,-6.481403945,-0.504779914,0.370829584,NA,NA,7,-108.1424422,230.3378895,0.965206533,0.007682453
1699,-6.019451786,NA,0.983054789,NA,NA,NA,0.762146526,NA,-5.514980547,NA,0.374287125,0.274435653,NA,7,-108.3437609,230.740527,1.367844043,0.006281571
164,-5.902297696,0.477275397,0.940991917,NA,NA,NA,0.639745827,NA,-5.352306246,NA,NA,NA,NA,6,-109.3679115,230.775558,1.402875054,0.006172504
692,-6.135139351,0.502045054,1.026762803,NA,NA,-0.206658842,0.846838401,NA,-5.730328933,NA,0.365821747,NA,NA,8,-107.3608536,230.7898891,1.417206096,0.006128433
2980,-6.31976424,0.512375173,0.814706533,NA,NA,NA,0.92604189,NA,-6.274667788,-0.54807354,0.394423793,NA,0.138223352,9,-106.4663261,231.0179199,1.645236955,0.005468059
2724,-5.946674639,0.489356038,1.055112553,NA,NA,NA,0.788906889,NA,-5.202840128,NA,0.371800595,NA,0.125116541,8,-107.493922,231.0560258,1.683342825,0.005364863
163,-5.877057965,NA,0.919873299,NA,NA,NA,0.623591446,NA,-5.531709944,NA,NA,NA,NA,5,-110.5312958,231.0909604,1.718277429,0.005271967
996,-6.347985283,0.528147802,0.874563455,NA,NA,NA,0.892224652,0.182164648,-6.389883161,-0.634389092,0.391848839,NA,NA,9,-106.5465447,231.1783571,1.805674113,0.005046551
948,-6.447300913,0.526433403,0.822451298,NA,NA,-0.129994738,0.950922827,NA,-6.660174189,-0.497493123,0.390914429,NA,NA,9,-106.5584383,231.2021443,1.829461296,0.004986885
1955,-6.348871929,NA,0.769851757,NA,NA,NA,0.883095437,NA,-6.512164127,-0.466405665,0.392564904,0.251612106,NA,8,-107.5907713,231.2497245,1.87704153,0.004869647
684,-6.008202409,0.499858935,1.051666105,NA,0.062693237,NA,0.76528292,NA,-5.410867139,NA,0.386030416,NA,NA,8,-107.617988,231.3041578,1.931474825,0.004738899
940,-6.424784087,0.525177206,0.81568224,NA,0.075847793,NA,0.891360669,NA,-6.655219288,-0.538839542,0.410678947,NA,NA,9,-106.6095598,231.3043873,1.931704314,0.004738355
740,-6.005369489,0.500015309,1.010621806,NA,NA,NA,0.830781099,-0.081960544,-5.340602026,NA,0.399784429,NA,NA,8,-107.6284835,231.3251489,1.952465913,0.004689421
420,-6.226830666,0.488367302,0.729382224,NA,NA,NA,0.742245692,NA,-6.300038329,-0.474934579,NA,NA,NA,7,-108.6364284,231.3258619,1.953178935,0.00468775
1716,-6.246907798,0.509403929,0.984362203,NA,NA,-0.216328597,0.826309059,NA,-5.884945596,NA,0.385053598,0.293255377,NA,9,-106.6307247,231.346717,1.974034066,0.004639122
