,(Intercept),aspect,bldg,dforcore,dfresh,dmarine,elev,pfor,pgra,ptcc,pwet,road,slope,df,logLik,AICc,delta,weight
1,-4.605170186,,,,,,,,,,,,,2,-117.8132256,239.632117,10.25943403,7.37E-05
129,-5.771777462,,,,,,,,-5.0599,,,,,3,-115.2453732,236.5020831,7.129400134,0.00035234
3,-4.644158682,,0.8215,,,,,,,,,,,3,-115.3244362,236.6602091,7.287526167,0.000325556
33,-4.56343118,,,,,,0.4660,,,,,,,3,-116.4023863,238.8161093,9.443426365,0.000110784
1025,-4.668183544,,,,,,,,,,,0.3371,,3,-116.6169694,239.2452755,9.872592534,8.94E-05
2,-4.666319718,0.4354,,,,,,,,,,,,3,-116.7690073,239.5493513,10.17666836,7.68E-05
257,-4.677200614,,,,,,,,,-0.3066,,,,3,-117.2884716,240.5882801,11.2155971,4.57E-05
513,-4.637383498,,,,,,,,,,0.1121,,,3,-117.6438828,241.2991023,11.92641936,3.20E-05
65,-4.625369006,,,,,,,-0.1219,,,,,,3,-117.70606,241.4234568,12.05077379,3.01E-05
9,-4.605845907,,,,0.0669,,,,,,,,,3,-117.7520932,241.5155233,12.14284029,2.87E-05
2049,-4.606592631,,,,,,,,,,,,0.0551,3,-117.7796175,241.5705718,12.19788884,2.79E-05
17,-4.623855001,,,,,-0.0600,,,,,,,,3,-117.7880504,241.5874375,12.21475454,2.77E-05
5,-4.599262623,,,0.0186,,,,,,,,,,3,-117.8131802,241.6376971,12.26501412,2.70E-05
131,-5.791142907,,0.8403,,,,,,-4.9882,,,,,4,-112.6584869,233.3358774,3.963194382,0.001715912
35,-4.601363289,,0.8830,,,,0.5455,,,,,,,4,-113.5571982,235.1333001,5.760617111,0.000698538
161,-5.806324466,,,,,,0.5189,,-5.3942,,,,,4,-113.5902786,235.1994608,5.826777819,0.000675808
385,-6.014805344,,,,,,,,-5.6201,-0.5026,,,,4,-114.0161606,236.0512248,6.67854185,0.000441433
130,-5.808016871,0.4406,,,,,,,-4.9651,,,,,4,-114.1586607,236.3362249,6.963541939,0.000382805
1153,-5.838556137,,,,,,,,-5.0758,,,0.3204,,4,-114.16833,236.3555636,6.982880647,0.000379122
4,-4.714021834,0.4642,0.8324,,,,,,,,,,,4,-114.2651035,236.5491106,7.176427595,0.000344152
1027,-4.706475507,,0.7731,,,,,,,,,0.3121,,4,-114.4924106,237.0037247,7.631041716,0.000274178
515,-4.696639859,,0.8615,,,,,,,,0.1868,,,4,-114.8606018,237.7401072,8.36742419,0.000189727
137,-5.800305658,,,,0.1516,,,,-5.1932,,,,,4,-114.9622996,237.9435027,8.570819743,0.000171381
67,-4.60779708,,0.9673,,,,,0.2418,,,,,,4,-115.0316398,238.0821833,8.709500278,0.0001599
641,-5.804826738,,,,,,,,-5.0614,,0.1148,,,4,-115.0650537,238.149011,8.776328001,0.000154645
145,-5.869376577,,,,,-0.1588,,,-5.2672,,,,,4,-115.0820278,238.1829591,8.810276158,0.000152042
193,-5.783319022,,,,,,,-0.1225,-5.0263,,,,,4,-115.1336987,238.2863009,8.913617929,0.000144386
133,-5.541577349,,,0.7960,,,,,-5.1635,,,,,4,-115.1684246,238.3557527,8.98306977,0.000139458
11,-4.643654597,,0.8276,,0.1063,,,,,,,,,4,-115.171638,238.3621796,8.989496651,0.00013901
2177,-5.775236172,,,,,,,,-5.0677,,,,0.0542,4,-115.213433,238.4457697,9.073086679,0.00013332
2051,-4.6462802,,0.8280,,,,,,,,,,0.0848,4,-115.2458672,238.510638,9.137955048,0.000129065
259,-4.653513939,,0.8008,,,,,,,-0.0433,,,,4,-115.3166695,238.6522427,9.279559692,0.000120243
19,-4.65309654,,0.8181,,,-0.0299,,,,,,,,4,-115.3183029,238.6555094,9.282826456,0.000120047
7,-4.613663137,,0.8222,0.0962,,,,,,,,,,4,-115.3231884,238.6652804,9.292597435,0.000119462
