,(Intercept),aspect,bldg,dforcore,dfresh,dmarine,elev,pfor,pgra,ptcc,pwet,road,slope,df,logLik,AICc,delta,weight
676,-5.97851029,0.499490466,1.05604817,NA,NA,NA,0.799080351,NA,-5.2874177,NA,0.386912796,NA,NA,6,-107.6598389,227.3594129,0,0.012434372
932,-6.356098729,0.525528611,0.82544163,NA,NA,NA,0.935391859,NA,-6.37361768,-0.536346614,0.412015258,NA,NA,7,-106.6678556,227.3887164,0.029303512,0.012253515
1700,-6.058488454,0.50257695,1.024096559,NA,NA,NA,0.775659822,NA,-5.339574548,NA,0.405683588,0.281745136,NA,7,-106.9535768,227.9601587,0.600745857,0.009208175
675,-5.935837319,NA,1.011680173,NA,NA,NA,0.775875443,NA,-5.443173304,NA,0.35594924,NA,NA,5,-109.0326351,228.093639,0.734226101,0.008613679
1956,-6.425588083,0.523448272,0.818699981,NA,NA,NA,0.911341531,NA,-6.419934121,-0.498917033,0.434113417,0.256486066,NA,8,-106.107934,228.2840498,0.924636883,0.007831438
931,-6.283358357,NA,0.773414989,NA,NA,NA,0.898314675,NA,-6.481404073,-0.504780085,0.370829451,NA,NA,6,-108.1424422,228.3246194,0.965206533,0.007674179
1699,-6.019447016,NA,0.983054793,NA,NA,NA,0.762146515,NA,-5.514962017,NA,0.374287129,0.274435642,NA,6,-108.3437609,228.7272569,1.367844043,0.006274806
164,-5.902294591,0.477275405,0.94099192,NA,NA,NA,0.639745815,NA,-5.352294147,NA,NA,NA,NA,5,-109.3679115,228.7641917,1.404778856,0.00615999
692,-6.135135013,0.502045104,1.026762633,NA,NA,-0.206658981,0.846838537,NA,-5.730311007,NA,0.365821617,NA,NA,7,-107.3608536,228.7747125,1.41529959,0.006127671
2980,-6.31976442,0.512375195,0.814706224,NA,NA,NA,0.926041867,NA,-6.274667835,-0.548073689,0.394423639,NA,0.138223353,8,-106.4663261,229.0008341,1.641421234,0.005472601
2724,-5.946671954,0.489356043,1.055112556,NA,NA,NA,0.788906882,NA,-5.202829681,NA,0.371800597,NA,0.125116543,7,-107.493922,229.0408492,1.681436319,0.005364196
163,-5.877054845,NA,0.9198733,NA,NA,NA,0.623591432,NA,-5.531697782,NA,NA,NA,NA,4,-110.5312958,229.0814952,1.722082333,0.005256279
996,-6.347985475,0.528147828,0.874563119,NA,NA,NA,0.892224635,0.182164615,-6.389883249,-0.634389214,0.391848678,NA,NA,8,-106.5465447,229.1612713,1.801858392,0.005050743
948,-6.447301104,0.526433411,0.822451145,NA,NA,-0.129994815,0.950922846,NA,-6.660174543,-0.497493165,0.390914372,NA,NA,8,-106.5584383,229.1850584,1.825645575,0.004991028
1955,-6.34887213,NA,0.769851445,NA,NA,NA,0.883095367,NA,-6.512164122,-0.46640586,0.392564726,0.251612106,NA,7,-107.5907713,229.2345479,1.875135025,0.004869041
940,-6.4247843,0.525177208,0.815682047,NA,0.075847833,NA,0.891360651,NA,-6.655219702,-0.538839619,0.410678871,NA,NA,8,-106.6095598,229.2873015,1.927888593,0.004742291
684,-6.008198921,0.49985894,1.051666109,NA,0.062693225,NA,0.765282917,NA,-5.410853572,NA,0.386030419,NA,NA,7,-107.617988,229.2889812,1.929568319,0.00473831
740,-6.005366406,0.500015314,1.010621813,NA,NA,NA,0.830781088,-0.081960537,-5.34059004,NA,0.39978443,NA,NA,7,-107.6284835,229.3099723,1.950559407,0.004688838
420,-6.226830673,0.488367302,0.729382224,NA,NA,NA,0.742245689,NA,-6.300038339,-0.474934581,NA,NA,NA,6,-108.6364284,229.3125918,1.953178935,0.004682701
1716,-6.246908396,0.509403974,0.984362015,NA,NA,-0.216328758,0.826309176,NA,-5.8849469,NA,0.385053454,0.293255434,NA,8,-106.6307247,229.3296312,1.970218345,0.004642975
