"","(Intercept)","aspect","bldg","dforcore","dfresh","dmarine","elev","pfor","pgra","ptcc","pwet","road","slope","df","logLik","AICc","delta","weight"
"676",0,5.16418612153849,5.9125171711707,NA,NA,NA,5.86596271222221,NA,-55.3390911881939,NA,4.23602283485983,NA,NA,6,-107.659838886991,227.359412873319,0,0.0124343722140341
"932",0,5.43339211095286,4.62141590694828,NA,NA,NA,6.86661079633202,NA,-66.707460993587,-4.01501322330444,4.51085117352886,NA,NA,7,-106.667855589574,227.388716385017,0.029303511697151,0.0122535150015171
"1700",0,5.19609700073645,5.73362907478455,NA,NA,NA,5.6940351303682,NA,-55.8849744032419,NA,4.44153038638524,2.57471463652715,NA,7,-106.953576762187,227.960158730242,0.600745856922146,0.00920817486801611
"675",0,NA,5.66411321630903,NA,NA,NA,5.69561798149809,NA,-56.9692581397744,NA,3.89702569222081,NA,NA,5,-109.032635090107,228.093638974541,0.73422610122131,0.00861367916322004
"1956",0,5.41188368550997,4.58367131124356,NA,NA,NA,6.69005992465553,NA,-67.1922174263161,-3.73482078438965,4.75278761484589,2.34388581026472,NA,8,-106.107933969035,228.284049756252,0.924636882932504,0.007831438026271
"931",0,NA,4.33013335464156,NA,NA,NA,6.59443118182916,NA,-67.8355733144237,-3.77871074506404,4.0599381462929,NA,NA,6,-108.142442153525,228.324619406388,0.96520653306888,0.00767417905354802
"1699",0,NA,5.50384775309727,NA,NA,NA,5.59483540121609,NA,-57.720612074635,NA,4.09779370959525,2.50791716826815,NA,6,-108.343760908253,228.727256915843,1.36784404252376,0.0062748060069803
"164",0,4.93450663866066,5.26834953864858,NA,NA,NA,4.69630505999534,NA,-56.0181000792762,NA,NA,NA,NA,5,-109.367911467421,228.764191729167,1.40477885584787,0.00615999005228696
"692",0,5.19059828547484,5.74855567593162,NA,NA,-1.73364674137246,6.21655040090762,NA,-59.9744944222191,NA,4.00511107197234,NA,NA,7,-107.360853628843,228.774712463555,1.41529959023586,0.00612767132142187
"2980",0,5.29740014908388,4.56131138261439,NA,NA,NA,6.79797350715991,NA,-65.6718336196805,-4.10280040789442,4.31825350740112,NA,1.39734745359258,8,-106.466326144551,229.000834107283,1.64142123396377,0.00547260082179667
"2724",0,5.0594072471689,5.9072789312223,NA,NA,NA,5.79128036897707,NA,-54.4537773474083,NA,4.07057051369482,NA,1.26484619747614,7,-107.493921993221,229.04084919231,1.68143631899042,0.00536419560539313
"163",0,NA,5.15011231191095,NA,NA,NA,4.57771747641738,NA,-57.8957716937528,NA,NA,NA,NA,4,-110.53129580736,229.081495206402,1.72208233308228,0.00525627932627383
"996",0,5.46047196025077,4.896433330561,NA,NA,NA,6.54972485373348,1.57011648846564,-66.8776994523532,-4.74894595339417,4.29006216102571,NA,NA,8,-106.546544723461,229.161271265104,1.80185839178472,0.0050507431692476
"948",0,5.4427467578516,4.60467302210753,NA,NA,-1.09051678733051,6.98062209179959,NA,-69.7066181007676,-3.72416191881648,4.27983313818385,NA,NA,8,-106.558438314913,229.185058448007,1.825645574688,0.00499102751420164
