"","(Intercept)","aspect","bldg","dforcore","dfresh","dmarine","elev","pfor","pgra","ptcc","pwet","road","slope","df","logLik","AICc","delta","weight"
"676",-5.97851029045841,0.499490465963826,1.05604816952044,NA,NA,NA,0.799080351480158,NA,-5.28741769997715,NA,0.386912796390816,NA,NA,6,-107.659838886991,227.359412873319,0,0.0124343722140341
"932",-6.35609872944307,0.525528610586851,0.825441629653491,NA,NA,NA,0.935391859409177,NA,-6.3736176797438,-0.536346614354805,0.412015258107219,NA,NA,7,-106.667855589574,227.388716385017,0.029303511697151,0.0122535150015171
"1700",-6.05848845388572,0.502576950367133,1.02409655884966,NA,NA,NA,0.775659822016036,NA,-5.33957454808204,NA,0.405683587895003,0.281745136267822,NA,7,-106.953576762187,227.960158730242,0.600745856922146,0.00920817486801611
"675",-5.93583731875144,NA,1.011680172906,NA,NA,NA,0.775875443099781,NA,-5.4431733043544,NA,0.355949239880315,NA,NA,5,-109.032635090107,228.093638974541,0.73422610122131,0.00861367916322004
"1956",-6.42558808259493,0.523448272428276,0.818699981375899,NA,NA,NA,0.911341530500773,NA,-6.41993412057354,-0.498917032527405,0.434113416853786,0.256486065539281,NA,8,-106.107933969035,228.284049756252,0.924636882932504,0.007831438026271
"931",-6.28335835691532,NA,0.773414989007667,NA,NA,NA,0.898314674862893,NA,-6.48140407313558,-0.504780084652674,0.370829450783145,NA,NA,6,-108.142442153525,228.324619406388,0.96520653306888,0.00767417905354802
"1699",-6.01944701611888,NA,0.983054793196772,NA,NA,NA,0.762146515108639,NA,-5.51496201661603,NA,0.374287128521737,0.274435642031069,NA,6,-108.343760908253,228.727256915843,1.36784404252376,0.0062748060069803
"164",-5.90229459139743,0.477275404534011,0.94099192029612,NA,NA,NA,0.639745815325422,NA,-5.35229414720576,NA,NA,NA,NA,5,-109.367911467421,228.764191729167,1.40477885584787,0.00615999005228696
"692",-6.13513501294237,0.502045103570062,1.02676263310571,NA,NA,-0.206658980546463,0.846838536665284,NA,-5.73031100703863,NA,0.365821617381323,NA,NA,7,-107.360853628843,228.774712463555,1.41529959023586,0.00612767132142187
"2980",-6.31976441961906,0.512375194578475,0.814706223554005,NA,NA,NA,0.926041866603731,NA,-6.27466783452946,-0.548073688867358,0.394423638683786,NA,0.138223353421789,8,-106.466326144551,229.000834107283,1.64142123396377,0.00547260082179667
"2724",-5.94667195375354,0.489356042542534,1.05511255554269,NA,NA,NA,0.788906881920703,NA,-5.20282968143009,NA,0.371800597343045,NA,0.125116543153572,7,-107.493921993221,229.04084919231,1.68143631899042,0.00536419560539313
"163",-5.87705484465287,NA,0.919873299706858,NA,NA,NA,0.623591432385138,NA,-5.53169778242929,NA,NA,NA,NA,4,-110.53129580736,229.081495206402,1.72208233308228,0.00525627932627383
"996",-6.34798547505574,0.528147828063857,0.874563118586931,NA,NA,NA,0.892224634724444,0.182164614561694,-6.38988324935781,-0.634389214230435,0.391848677904451,NA,NA,8,-106.546544723461,229.161271265104,1.80185839178472,0.0050507431692476
"948",-6.44730110417633,0.52643341084548,0.822451144826693,NA,NA,-0.129994815068331,0.950922845629923,NA,-6.66017454276836,-0.497493165121477,0.390914372310175,NA,NA,8,-106.558438314913,229.185058448007,1.825645574688,0.00499102751420164
"1955",-6.34887213023164,NA,0.769851444716841,NA,NA,NA,0.883095366527487,NA,-6.51216412167539,-0.466405860479997,0.39256472628605,0.251612105564022,NA,7,-107.590771346066,229.234547898,1.87513502468087,0.00486904139173277
"940",-6.42478429984374,0.525177208066624,0.815682047098779,NA,0.075847833072356,NA,0.891360651113412,NA,-6.65521970162712,-0.538839619382423,0.410678870558897,NA,NA,8,-106.60955982408,229.287301466343,1.92788859302311,0.00474229072397797
"684",-6.00819892069039,0.499858940282304,1.05166610934172,NA,0.062693225388375,NA,0.765282916993903,NA,-5.41085357241942,NA,0.386030419015263,NA,NA,7,-107.617987993439,229.288981192746,1.92956831942615,0.00473830952057513
"740",-6.00536640636321,0.500015314110974,1.01062181294023,NA,NA,NA,0.83078108765041,-0.0819605371330978,-5.34059003954671,NA,0.399784430300817,NA,NA,7,-107.628483537155,229.309972280178,1.95055940685839,0.00468883845286722
"420",-6.22683067309219,0.488367302452374,0.729382223955003,NA,NA,NA,0.742245688652987,NA,-6.30003833894657,-0.474934581322048,NA,NA,NA,6,-108.63642835473,229.312591808798,1.95317893547829,0.0046827011996615
"1716",-6.24690839587587,0.509403973851862,0.984362015485576,NA,NA,-0.216328758059299,0.826309175719261,NA,-5.8849469004634,NA,0.385053453662168,0.293255433899406,NA,8,-106.630724700091,229.329631218365,1.97021834504523,0.00464297543404104
"680",-5.94342910948317,0.50067482054103,1.05652383666889,0.130335868726358,NA,NA,0.792871367872826,NA,-5.31195503268937,NA,0.38729763169786,NA,NA,7,-107.658039892617,229.369084991103,2.00967211778323,0.00455228148100321
"936",-6.42410320492514,0.523753123219421,0.821440287131774,-0.257174797154305,NA,NA,0.948984271494992,NA,-6.31519336063092,-0.542632872218209,0.411834584257136,NA,NA,8,-106.661102399304,229.390386616791,2.03097374347135,0.0045040532736564
"691",-6.09296650546113,NA,0.983854218046143,NA,NA,-0.204405833973188,0.821665556631654,NA,-5.89355305723077,NA,0.333699723593969,NA,NA,6,-108.736193819742,229.512122738821,2.15270986550172,0.00423807712375205
"3748",-6.02724797847325,0.491922602447262,1.02398435662078,NA,NA,NA,0.763499473809921,NA,-5.25195665481204,NA,0.390440187941582,0.289451207070364,0.140711941128313,8,-106.746525978596,229.561233775375,2.20182090205537,0.00413527627302918
"930",-6.48387396212663,0.477697058038681,NA,NA,NA,NA,0.895606835007063,NA,-6.92037415140567,-0.807869320664441,0.338246913008118,NA,NA,6,-108.777434736041,229.594604571419,2.23519169809967,0.00406684998986374
"1188",-5.97521896509108,0.476830674565027,0.896272122674254,NA,NA,NA,0.617173930513705,NA,-5.41292283031156,NA,NA,0.266431681811516,NA,6,-108.790989945963,229.621714991263,2.26230211794405,0.00401209493109266
"419",-6.19589663292718,NA,0.699718235069137,NA,NA,NA,0.722274914939768,NA,-6.48187121052066,-0.467082726427441,NA,NA,NA,5,-109.818882502425,229.666133799176,2.30672092585621,0.00392397090736919
"180",-6.13826678210337,0.48021628502561,0.916606349758722,NA,NA,-0.29490660564453,0.717076412309361,NA,-5.9995466722507,NA,NA,NA,NA,6,-108.818612811007,229.676960721351,2.31754784803206,0.00390278603702381
"2020",-6.42948463697749,0.529080927010344,0.897990969347161,NA,NA,NA,0.841325723266311,0.289398668380284,-6.47594991274455,-0.655325219656257,0.402880482206653,0.28982376910503,NA,9,-105.830861737296,229.746991120257,2.38757824693784,0.00376849405636143
"4004",-6.38731253419482,0.510833821811133,0.811353428382057,NA,NA,NA,0.899371323545142,NA,-6.31446528519676,-0.50522075228622,0.416963211381661,0.260263845575971,0.145073268060252,9,-105.887535236338,229.860338118341,2.50092524502139,0.00356085957036554
"1708",-6.09899158735247,0.503339979507424,1.01549936690377,NA,0.0685439436472062,NA,0.737819392924091,NA,-5.50672535116469,NA,0.405142925098881,0.283430363263231,NA,8,-106.90391538034,229.876012578861,2.51659970554164,0.00353306136673533
"1187",-5.95442491892616,NA,0.882072229064253,NA,NA,NA,0.609336904011771,NA,-5.60937755869599,NA,NA,0.260050933395107,NA,5,-109.960895644511,229.950160083349,2.59074721002938,0.00340447582685574
"1704",-5.99650781811412,0.504655622930833,1.02547506185309,0.241675500924417,NA,NA,0.764806737642552,NA,-5.39521355756244,NA,0.406849192679076,0.282691487593639,NA,8,-106.947413370827,229.963008559837,2.60359568651728,0.00338267476563283
"1764",-6.05883771274967,0.502569882891473,1.02348950432116,NA,NA,NA,0.776118548406958,-0.0011221407966552,-5.34031924858437,NA,0.405871767163911,0.281610824155188,NA,8,-106.953571251428,229.975324321038,2.61591144771907,0.00336190866152918
"683",-5.96710613351566,NA,1.01054911857419,NA,0.0671670722404305,NA,0.739646716394059,NA,-5.57219545887309,NA,0.354438041754555,NA,NA,6,-108.984863240501,230.009461580339,2.65004870701955,0.00330501243927054
"179",-6.11064739776911,NA,0.897593012248717,NA,NA,-0.289425236044748,0.699384078835172,NA,-6.17588605283246,NA,NA,NA,NA,5,-109.991002956799,230.010374707924,2.65096183460503,0.00330350383466955
"739",-5.96121319327775,NA,0.968244146727807,NA,NA,NA,0.805966237512893,-0.078035768019337,-5.495270688868,NA,0.366875011943273,NA,NA,6,-109.003762116973,230.047259333284,2.68784645996425,0.00324313793833544
"1972",-6.53606501046511,0.526974800852826,0.811046458587588,NA,NA,-0.140839414381843,0.92716262133655,NA,-6.77048568781008,-0.453042716218243,0.412206883278891,0.264469324476916,NA,9,-105.981838810783,230.048945267231,2.68953239391189,0.00324040523211425
"2723",-5.93262340042968,NA,1.00967268063602,NA,NA,NA,0.773090655748668,NA,-5.43429536480503,NA,0.351699608353563,NA,0.0293953005723076,6,-109.023415773181,230.086566645699,2.72715377237961,0.00318002069422798
"679",-5.93661229564872,NA,1.01167296954604,-0.00286901933575548,NA,NA,0.776017113905205,NA,-5.44261492572732,NA,0.355945685203623,NA,NA,6,-109.032634208899,230.105003517137,2.74559064381725,0.00315084058201055
"995",-6.27813485548705,NA,0.816919366376414,NA,NA,NA,0.855344242974387,0.176901856265775,-6.508253934198,-0.602636709445849,0.352727821107801,NA,NA,7,-108.027648601977,230.108302409822,2.74888953650211,0.00314564772338516
"947",-6.37476695569433,NA,0.773618464323941,NA,NA,-0.13213591665488,0.914124983156822,NA,-6.76688851810181,-0.464701736662463,0.349382000223428,NA,NA,7,-108.028582642034,230.110170489936,2.75075761661651,0.00314271093415856
"929",-6.43804298943986,NA,NA,NA,NA,NA,0.87679451907341,NA,-7.0491448997455,-0.786847251587814,0.310514211926075,NA,NA,5,-110.041933100226,230.112234994779,2.7528221214593,0.00313946853696112
"2212",-5.87378286724151,0.466293158758508,0.952365297521618,NA,NA,NA,0.641983387877349,NA,-5.26726061014541,NA,NA,NA,0.177131995321418,6,-109.040769808729,230.121274716797,2.76186184347719,0.00312531059559855
"1715",-6.19748710899099,NA,0.945112974751084,NA,NA,-0.208956345313161,0.8095602122415,NA,-6.03914925304251,NA,0.352049466485163,0.28261186945442,NA,7,-108.038337402066,230.12968001,2.7702671366807,0.00311220358101128
"1964",-6.50714532634118,0.523425565155946,0.805504341308096,NA,0.078961143199585,NA,0.864988705526427,NA,-6.75232519736594,-0.501420053956271,0.433193999343615,0.258106917619046,NA,9,-106.044447347143,230.174162339951,2.81474946663192,0.00304374862853177
"939",-6.35942986988076,NA,0.767113253445586,NA,0.0842757965163867,NA,0.850499487963211,NA,-6.78846860313558,-0.509938203043807,0.368443262973891,NA,NA,7,-108.070720379767,230.194445965402,2.8350330920828,0.00301303550657633
"1960",-6.46418783755462,0.522450771040394,0.815919525448547,-0.15252209041665,NA,NA,0.919221979003986,NA,-6.37923123642637,-0.502931302882284,0.433860646567603,0.255874275536033,NA,9,-106.105569426171,230.296406498007,2.93699362468789,0.00286327987799769
"2979",-6.27906149260421,NA,0.768150315640053,NA,NA,NA,0.894958418287315,NA,-6.47017311367384,-0.506704639327254,0.365038632600328,NA,0.0371103594060526,7,-108.127922563274,230.308850332416,2.9494374590962,0.00284552009490783
"935",-6.37743354990104,NA,0.768052725505648,-0.352589150822693,NA,NA,0.917299866272962,NA,-6.40235987420705,-0.513081400807372,0.371116160469114,NA,NA,7,-108.129569936588,230.312145079045,2.95273220572565,0.00284083632005906
"418",-6.34351451909727,0.458422068287706,NA,NA,NA,NA,0.73272521028449,NA,-6.73829845232401,-0.726351191654295,NA,NA,NA,5,-110.171067505698,230.370503805721,3.01109093240197,0.0027591402411709
"1954",-6.55541404534709,0.477612343749856,NA,NA,NA,NA,0.864431280659358,NA,-6.99953372108526,-0.758168805671821,0.360766391042739,0.253696576834916,NA,7,-108.160649974016,230.374305153901,3.01489228058188,0.00275390099543053
"2740",-6.10652949628332,0.491177851815699,1.02354158307854,NA,NA,-0.215724383040298,0.840236081574439,NA,-5.65299631385261,NA,0.349143215420348,NA,0.134113888256995,8,-107.171609039814,230.41139989781,3.05198702449059,0.00270329413224318
"484",-6.22131033988174,0.500496591809824,0.821175776663573,NA,NA,NA,0.672247118901724,0.325170741109482,-6.34571721925206,-0.648088680000395,NA,NA,NA,7,-108.207207304343,230.467419814554,3.10800694123441,0.00262862558927377
"1204",-6.25167742207702,0.484534214356675,0.857520659348049,NA,NA,-0.305387951018019,0.694777024940424,NA,-6.19903226588421,NA,NA,0.279497231284127,NA,7,-108.212082682898,230.477170571665,3.11775769834512,0.00261584123405434
"436",-6.44775601056752,0.49275961917501,0.726428055183543,NA,NA,-0.257808424442406,0.797769343797323,NA,-6.9472025517448,-0.435369681268682,NA,NA,NA,7,-108.221445862468,230.495896930804,3.13648405748452,0.00259146295008094
"1444",-6.26538628156792,0.48358712942849,0.71994020106915,NA,NA,NA,0.7140334171414,NA,-6.29244805666937,-0.422116835220599,NA,0.227779466347903,NA,7,-108.228578976189,230.510163158246,3.15075028492654,0.00257304352219145
"2468",-6.20588763692028,0.476272740565035,0.726672368375601,NA,NA,NA,0.750761125468236,NA,-6.23384181072463,-0.499958798185249,NA,NA,0.197197767215257,7,-108.235085377793,230.523175961454,3.16376308813415,0.0025563566124278
"417",-6.32817541278098,NA,NA,NA,NA,NA,0.722165828023357,NA,-6.93458409505672,-0.724348797247063,NA,NA,NA,4,-111.270620012766,230.560143617215,3.2007307438958,0.00250953937064682
"1707",-6.05994446337947,NA,0.978149523539018,NA,0.0727124809916177,NA,0.722376606800306,NA,-5.68139539326713,NA,0.373286623464177,0.276048772008749,NA,7,-108.287928341231,230.62886188833,3.26944901501025,0.00242477826494916
"172",-5.9363264840892,0.476776814572679,0.933365326990713,NA,0.0678876698227795,NA,0.598977120730868,NA,-5.49690016258053,NA,NA,NA,NA,6,-109.319971265079,230.679677629496,3.3202647561761,0.00236394589562745
"228",-5.88004923338555,0.479407371944927,0.989799165987006,NA,NA,NA,0.612244731084318,0.083071964233602,-5.30675157701335,NA,NA,NA,NA,6,-109.332460171339,230.704655442016,3.34524256869634,0.00233460638746263
"3747",-6.01674448276669,NA,0.980498481484812,NA,NA,NA,0.758656204288441,NA,-5.50748206787625,NA,0.368727494815507,0.276006249729512,0.040963964914667,7,-108.32598186591,230.704968937689,3.3455560643699,0.00233424047164066
"1703",-5.98717211221971,NA,0.98363233431165,0.125011253335992,NA,NA,0.756357594626641,NA,-5.54396741384026,NA,0.374704484940092,0.275016430297598,NA,7,-108.342094941255,230.737195088379,3.37778221505923,0.00229693007887511
"1763",-6.02118868614205,NA,0.979887526705176,NA,NA,NA,0.764466370205053,-0.00573072800859761,-5.51863849964854,NA,0.375154901728925,0.273843053740122,NA,7,-108.343613819091,230.740232844051,3.38081997073181,0.00229344397084311
"2019",-6.35520535666292,NA,0.839287206240585,NA,NA,NA,0.816283395065715,0.272100030937733,-6.58123527442451,-0.617648502608549,0.364943976617612,0.278773574934532,NA,8,-107.342852092056,230.753886002295,3.39447312897533,0.00227784091246576
"2996",-6.41976377110461,0.513026945960125,0.809941930691333,NA,NA,-0.142054529667414,0.944859580555344,NA,-6.58747625089664,-0.508289131877023,0.370984820355493,NA,0.145522374910479,9,-106.337028941448,230.759325528562,3.39991265524242,0.00227165414181701
"168",-5.9359658042136,0.476424833373076,0.941144639179866,-0.123588665307625,NA,NA,0.646231646212854,NA,-5.32987600089296,NA,NA,NA,NA,6,-109.366230795775,230.772196690887,3.41278381756797,0.0022570816686757
"696",-6.07150858946528,0.503892489762531,1.02731604479871,0.25027972830617,NA,-0.208399860912057,0.835268743573958,NA,-5.79135396288167,NA,0.366422466933776,NA,NA,8,-107.354192785839,230.77656738986,3.41715451654079,0.00225215454211791
"1012",-6.48214067529279,0.529570382484877,0.893146992891965,NA,NA,-0.183937143137641,0.90366427429156,0.254794710444656,-6.82070760845377,-0.626105432449507,0.354109047471101,NA,NA,9,-106.346356794636,230.777981234938,3.41856836161858,0.00225056300592369
