,(Intercept),aspect,dforcore,dfresh,dmarine,elev,pgra,ptcc,pwet,road,slope,df,logLik,AICc,delta,weight
454,0,-2.859798607,NA,-13.18977031,NA,NA,NA,8.706738396,-4.585433862,4.974188728,NA,7,-128.4241003,270.8909814,0,0.037497021
456,0,-2.825873768,3.277414988,-13.83219731,NA,NA,NA,9.76684752,-4.909736192,4.727827085,NA,8,-127.5779752,271.2109752,0.319993818,0.031952953
464,0,-2.87055184,4.793226648,-13.7150481,3.684161704,NA,NA,9.897827978,-4.606769976,4.318663067,NA,9,-126.8476872,271.7641817,0.873200279,0.024231692
326,0,-2.828382286,NA,-12.24661865,NA,NA,NA,8.132606862,NA,4.915727355,NA,6,-129.9951717,272.0224168,1.131435425,0.021296522
462,0,-2.778644616,NA,-12.86800405,2.171482409,NA,NA,7.251006725,-4.310379655,4.767059616,NA,8,-128.0012816,272.0575881,1.166606717,0.020925283
453,0,NA,NA,-13.22712877,NA,NA,NA,9.38963771,-4.490064339,4.899153035,NA,6,-130.2779208,272.5879148,1.696933443,0.016051379
966,0,-3.431287165,NA,-13.40515307,NA,NA,NA,8.789591101,-4.601903992,4.863234317,-1.257854154,8,-128.2797207,272.6144663,1.723484924,0.015839694
328,0,-2.796812781,2.832390863,-12.6598483,NA,NA,NA,9.06215762,NA,4.730563585,NA,7,-129.3363605,272.7155018,1.824520386,0.015059384
336,0,-2.908731277,4.712433313,-12.78962618,4.337273982,NA,NA,9.935726321,NA,4.229402101,NA,8,-128.385458,272.8259409,1.934959534,0.014250354
455,0,NA,3.31625442,-13.81185015,NA,NA,NA,10.40557688,-4.816115077,4.638571783,NA,7,-129.3993417,272.8414641,1.950482756,0.014140176
968,0,-3.454615216,3.350938609,-14.10019195,NA,NA,NA,9.867438542,-4.927522961,4.587613662,-1.400151234,9,-127.398122,272.8650514,1.974070063,0.013974391
470,0,-2.863463396,NA,-13.34449136,NA,0.452694979,NA,8.404227261,-4.433029815,5.015150359,NA,8,-128.4105825,272.8761899,1.985208482,0.013896781
