"","(Intercept)","aspect","dforcore","dfresh","dmarine","elev","pgra","ptcc","pwet","road","slope","df","logLik","AICc","delta","weight"
"454",-5.51141047715179,-0.288936388030292,NA,-1.43180021765711,NA,NA,NA,0.743239067111343,-0.49322475058055,0.446426208746953,NA,7,-128.424100311837,270.890981372338,0,0.0374970214683223
"456",-5.61597434647596,-0.285508831815837,0.252660383734519,-1.50153813548536,NA,NA,NA,0.833733863238265,-0.528107804320015,0.424315609405078,NA,8,-127.577975176479,271.210975190558,0.319993818220098,0.0319529527118713
"464",-5.80109367508093,-0.290022828224784,0.369516368440436,-1.48882113817144,0.343703594920316,NA,NA,0.84491483470212,-0.495519735081398,0.387593733457436,NA,9,-126.847687156172,271.764181651793,0.87320027945475,0.0242316919855675
"326",-5.36395798815572,-0.285762276923194,NA,-1.32941748324461,NA,NA,NA,0.694229097324401,NA,0.441179385539764,NA,6,-129.995171743316,272.022416797056,1.13143542471829,0.0212965223610517
"462",-5.53990251198103,-0.280737089971807,NA,-1.39687125368376,0.202582397362649,NA,NA,0.618972481866039,-0.46363899119598,0.427836672045776,NA,8,-128.001281625977,272.057588089554,1.1666067172161,0.0209252830612286
"453",-5.47389307869179,NA,NA,-1.43585562143285,NA,NA,NA,0.801533852807019,-0.482966482621034,0.439691864352881,NA,6,-130.277920752538,272.5879148155,1.69693344316141,0.0160513792542764
"966",-5.52409838909902,-0.34667606215642,NA,-1.45518084311592,NA,NA,NA,0.750311677345236,-0.494996333354649,0.436468211622616,-0.124657381372734,8,-128.279720729316,272.614466296233,1.72348492389489,0.0158396935619552
"328",-5.4429108519191,-0.282572689178816,0.218352868028842,-1.37427514777379,NA,NA,NA,0.773578953277754,NA,0.424561206250544,NA,7,-129.336360504688,272.715501758039,1.82452038570102,0.0150593838641519
"336",-5.70755991564014,-0.293880242783901,0.363287900233706,-1.38836303555197,0.404633884009242,NA,NA,0.848149975998229,NA,0.379582691456457,NA,8,-128.385458034381,272.825940906362,1.9349595340243,0.0142503538117088
"455",-5.57348677603096,NA,0.255654568455813,-1.49932937274421,NA,NA,NA,0.888258139533864,-0.51803760099085,0.416305075725392,NA,7,-129.399341689744,272.84146412815,1.95048275581223,0.0141401762411517
"968",-5.63163928923491,-0.34903298433501,0.258328419809424,-1.5306299826519,NA,NA,NA,0.842320681136778,-0.530021009204544,0.411731658480748,-0.138759478432453,9,-127.398122047929,272.865051435308,1.97407006296976,0.013974391426938
"470",-5.51725026281588,-0.289306655639801,NA,-1.44859578129638,NA,0.0391672579431352,NA,0.717415609024501,-0.476831656651854,0.45010245562979,NA,8,-128.410582508203,272.876189854006,1.98520848166777,0.0138967814293151
"486",-5.50659834153319,-0.288617937101741,NA,-1.43827576309944,NA,NA,0.0469132560581752,0.750939287530134,-0.493823547068059,0.446358392459481,NA,8,-128.418303042436,272.891630922473,2.00064955013511,0.0137899039590198
"334",-5.41326714305175,-0.279879896774039,NA,-1.30580950722921,0.228078865791988,NA,NA,0.558363698194755,NA,0.419952435647822,NA,7,-129.429255140236,272.901291029134,2.01030965679604,0.0137234585840058
