,(Intercept),aspect,dforcore,dfresh,dmarine,elev,pgra,ptcc,pwet,road,slope,df,logLik,AICc,delta,weight
454,0,-2.859798607,NA,-13.18977031,NA,NA,NA,8.706738396,-4.585433863,4.974188728,NA,6,-128.4241003,268.8802739,0,0.038104039
456,0,-2.825873768,3.277414988,-13.83219731,NA,NA,NA,9.76684752,-4.909736198,4.727827086,NA,7,-127.5779752,269.1987311,0.318457168,0.032495177
464,0,-2.719505974,3.881574612,-13.39646533,2.891270382,NA,NA,8.022311198,-4.604254539,4.451090955,NA,8,-126.8758608,269.8067464,0.926472476,0.023976736
326,0,-2.828382298,NA,-12.24661724,NA,NA,NA,8.132606735,NA,4.915727382,NA,5,-129.9951717,270.0132442,1.132970316,0.021624677
462,0,-2.778644616,NA,-12.86800405,2.171482409,NA,NA,7.251006725,-4.310379656,4.767059616,NA,7,-128.0012816,270.045344,1.165070067,0.021280374
453,0,NA,NA,-13.22712877,NA,NA,NA,9.38963771,-4.490064339,4.899153035,NA,5,-130.2779208,270.5787423,1.698468334,0.016298712
966,0,-3.431287165,NA,-13.40515307,NA,NA,NA,8.789591101,-4.601903993,4.863234317,-1.257854154,7,-128.2797207,270.6022222,1.721948273,0.016108485
328,0,-2.796812791,2.832390829,-12.6598469,NA,NA,NA,9.062157501,NA,4.730563617,NA,6,-129.3363605,270.7047943,1.824520386,0.015303171
455,0,NA,3.31625442,-13.81185015,NA,NA,NA,10.40557688,-4.816115078,4.638571783,NA,6,-129.3993417,270.8307567,1.950482756,0.014369083
968,0,-3.454615216,3.350938609,-14.10019195,NA,NA,NA,9.867438542,-4.927522965,4.587613663,-1.400151234,8,-127.398122,270.8512689,1.970994999,0.014222465
470,0,-2.863463396,NA,-13.34449136,NA,0.452694979,NA,8.404227261,-4.433029818,5.015150359,NA,7,-128.4105825,270.8639458,1.983671831,0.014132602
486,0,-2.856646683,NA,-13.24942316,NA,NA,0.464745869,8.796943295,-4.591000781,4.973433102,NA,7,-128.418303,270.8793868,1.999112899,0.014023911
