"","(Intercept)","aspect","bldg","dforcore","dfresh","dmarine","elev","pfor","pgra","ptcc","pwet","road","slope","df","logLik","AICc","delta","weight"
"676",0,5.16418607412279,5.91251715460954,NA,NA,NA,5.86596276388514,NA,-55.3392108399566,NA,4.2360228071829,NA,NA,7,-107.659838886989,229.372682979847,0,0.0124477785754454
"932",0,5.43339205064661,4.62141710719487,NA,NA,NA,6.86661093420349,NA,-66.7074603676666,-4.01501246223983,4.51085240754323,NA,NA,8,-106.667855589575,229.403892997331,0.0312100174843692,0.0122550386473466
"1700",0,5.19609692696563,5.73362904391453,NA,NA,NA,5.69403522224774,NA,-55.8851680729264,NA,4.44153034132281,2.57471474877542,NA,8,-106.953576762183,229.975335342548,0.602652362700894,0.00920931984541326
"675",0,NA,5.66411320333281,NA,NA,NA,5.69561802733992,NA,-56.9693836017446,NA,3.89702566641249,NA,NA,6,-109.032635090106,230.105005279549,0.732322299701934,0.00863117828573704
"1956",0,5.41188357594648,4.58367271282228,NA,NA,NA,6.69006025334126,NA,-67.192217991721,-3.73481992901245,4.7527892600664,2.34388580591737,NA,9,-106.107933969036,230.301135583738,0.928452603891202,0.00782493850312629
"931",0,NA,4.33013485704986,NA,NA,NA,6.59443142846826,NA,-67.8355719730339,-3.77870946754694,4.05993960912372,NA,NA,7,-108.142442153527,230.337889512922,0.965206533075019,0.00768245311964989
"1699",0,NA,5.50384772977213,NA,NA,NA,5.59483547848218,NA,-57.7208060161617,NA,4.09779367201717,2.50791727173542,NA,7,-108.343760908249,230.740527022367,1.3678440425202,0.00628157131171837
"164",0,4.93450656157775,5.268349517451,NA,NA,NA,4.69630514506811,NA,-56.018226703753,NA,NA,NA,NA,6,-109.367911467419,230.775558034176,1.40287505432883,0.00617250438194528
"692",0,5.19059777254191,5.74855662648458,NA,NA,-1.73364558034734,6.21654940290369,NA,-59.9746820382098,NA,4.00511249220694,NA,NA,8,-107.360853628841,230.789889075864,1.41720609601671,0.00612843325798383
"2980",0,5.29739992985539,4.56131311448408,NA,NA,NA,6.79797367959719,NA,-65.671833132285,-4.10279929433846,4.31825520030269,NA,1.39734743891472,9,-106.466326144552,231.017919934771,1.64523695492349,0.00546805896171865
"2724",0,5.05940720345325,5.90727891563766,NA,NA,NA,5.79128041925173,NA,-54.4538866848988,NA,4.0705704892898,NA,1.26484617085126,8,-107.49392199322,231.056025804621,1.6833428247738,0.00536486260864792
"163",0,NA,5.1501123085952,NA,NA,NA,4.57771757587362,NA,-57.8958989788167,NA,NA,NA,NA,5,-110.531295807358,231.090960409042,1.71827742919513,0.0052719666152594
"996",0,5.46047169118768,4.8964352167099,NA,NA,NA,6.54972498297574,1.57011677377844,-66.8776985304225,-4.74894503981679,4.29006392250579,NA,NA,9,-106.546544723463,231.178357092591,1.8056741127443,0.00504655142029501
"948",0,5.44274667929825,4.60467387726117,NA,NA,-1.09051614219804,6.98062195668922,NA,-69.70661439825,-3.72416160548245,4.2798337626394,NA,NA,9,-106.558438314913,231.202144275492,1.82946129564539,0.00498688532489872
"1955",0,NA,4.3101838188846,NA,NA,NA,6.48270839594622,NA,-68.1575137259244,-3.49144538768318,4.2979035939584,2.29934536485217,NA,8,-107.590771346067,231.249724510316,1.87704153046923,0.00486964682573069
"684",0,5.16799569309735,5.88798322384379,NA,0.69534369210754,NA,5.61785941034872,NA,-56.6311358428094,NA,4.22636230053597,NA,NA,8,-107.617987993437,231.304157805055,1.93147482520831,0.00473889869891992
"940",0,5.42975897504525,4.56677582547326,NA,0.841243596474155,NA,6.54338257143701,NA,-69.654755485593,-4.03367492130457,4.49622088561268,NA,NA,9,-106.609559824081,231.304387293828,1.93170431398048,0.00473835496809364
