"","(Intercept)","aspect","bldg","dforcore","dfresh","dmarine","elev","pfor","pgra","ptcc","pwet","road","slope","df","logLik","AICc","delta","weight"
"676",-5.97851322942731,0.499490461377684,1.05604816656242,NA,NA,NA,0.799080358517849,NA,-5.28742913220045,NA,0.386912793862842,NA,NA,7,-107.659838886989,229.372682979847,0,0.0124477785754454
"932",-6.35609859822434,0.525528604753909,0.825441844032269,NA,NA,NA,0.935391878190473,NA,-6.37361761993974,-0.536346512687786,0.412015370820481,NA,NA,8,-106.667855589575,229.403892997331,0.0312100174843692,0.0122550386473466
"1700",-6.05849321382779,0.502576943231871,1.02409655333589,NA,NA,NA,0.775659834532164,NA,-5.33959305240684,NA,0.40568358377906,0.281745148550894,NA,8,-106.953576762183,229.975335342548,0.602652362700894,0.00920931984541326
"675",-5.93584040231321,NA,1.01168017058829,NA,NA,NA,0.775875449344502,NA,-5.44318529171862,NA,0.355949237523017,NA,NA,6,-109.032635090106,230.105005279549,0.732322299701934,0.00863117828573704
"1956",-6.4255879634167,0.523448261831075,0.818700231715068,NA,NA,NA,0.911341575275403,NA,-6.41993417459561,-0.498916918261613,0.434113567126081,0.256486065063561,NA,9,-106.107933969036,230.301135583738,0.928452603891202,0.00782493850312629
"931",-6.28335814745286,NA,0.773415257356239,NA,NA,NA,0.898314708460867,NA,-6.48140394497143,-0.50477991399521,0.370829584396203,NA,NA,7,-108.142442153527,230.337889512922,0.965206533075019,0.00768245311964989
"1699",-6.01945178562649,NA,0.983054789030616,NA,NA,NA,0.762146525634075,NA,-5.51498054691421,NA,0.374287125089405,0.274435653353257,NA,7,-108.343760908249,230.740527022367,1.3678440425202,0.00628157131171837
"164",-5.90229769617458,0.477275397078397,0.940991916509971,NA,NA,NA,0.639745826914309,NA,-5.35230624564261,NA,NA,NA,NA,6,-109.367911467419,230.775558034176,1.40287505432883,0.00617250438194528
"692",-6.13513935074419,0.502045053958157,1.02676280288614,NA,NA,-0.206658842146717,0.846838400713971,NA,-5.73032893295843,NA,0.365821747103698,NA,NA,8,-107.360853628841,230.789889075864,1.41720609601671,0.00612843325798383
"2980",-6.319764239931,0.512375173374256,0.814706532887197,NA,NA,NA,0.926041890093693,NA,-6.27466778796087,-0.548073540112687,0.394423793311205,NA,0.138223351969879,9,-106.466326144552,231.017919934771,1.64523695492349,0.00546805896171865
"2724",-5.94667463918957,0.489356038314268,1.05511255275909,NA,NA,NA,0.788906888769279,NA,-5.20284012816801,NA,0.371800595113923,NA,0.125116540519882,8,-107.49392199322,231.056025804621,1.6833428247738,0.00536486260864792
"163",-5.87705796504684,NA,0.919873299114625,NA,NA,NA,0.623591445933388,NA,-5.53170994398246,NA,NA,NA,NA,5,-110.531295807358,231.090960409042,1.71827742919513,0.0052719666152594
"996",-6.34798528255808,0.528147802039533,0.874563455476286,NA,NA,NA,0.892224652330242,0.182164647663631,-6.3898831612712,-0.634389092189957,0.391848838795742,NA,NA,9,-106.546544723463,231.178357092591,1.8056741127443,0.00504655142029501
"948",-6.44730091303491,0.526433403247643,0.822451297567634,NA,NA,-0.129994738165455,0.950922827224754,NA,-6.66017418900836,-0.497493123264667,0.39091442934713,NA,NA,9,-106.558438314913,231.202144275492,1.82946129564539,0.00498688532489872
"1955",-6.34887192869147,NA,0.769851756951167,NA,NA,NA,0.883095436795514,NA,-6.51216412707861,-0.46640566512191,0.39256490415298,0.25161210642779,NA,8,-107.590771346067,231.249724510316,1.87704153046923,0.00486964682573069
"684",-6.00820240862789,0.499858935385391,1.05166610526327,NA,0.0626932371462006,NA,0.765282919858,NA,-5.41086713923054,NA,0.386030415795719,NA,NA,8,-107.617987993437,231.304157805055,1.93147482520831,0.00473889869891992
"940",-6.42478408664381,0.525177206376257,0.81568224014922,NA,0.0758477928110983,NA,0.891360668583629,NA,-6.65521928774784,-0.53883954226906,0.410678946706094,NA,NA,9,-106.609559824081,231.304387293828,1.93170431398048,0.00473835496809364
"740",-6.00536948943068,0.500015309436903,1.01062180611241,NA,NA,NA,0.830781098792974,-0.0819605442761527,-5.34060202600925,NA,0.39978442896185,NA,NA,8,-107.628483537153,231.325148892488,1.95246591264103,0.00468942147980147
"420",-6.226830666057,0.488367301897079,0.729382223688052,NA,NA,NA,0.742245692231588,NA,-6.30003832916497,-0.474934579201215,NA,NA,NA,7,-108.63642835473,231.325861915329,1.95317893548193,0.00468774994546687
"1716",-6.24690779816774,0.509403928833797,0.984362203152438,NA,NA,-0.216328597030792,0.826309058553253,NA,-5.88494559613855,NA,0.38505359777212,0.29325537665847,NA,9,-106.630724700093,231.346717045851,1.97403406600418,0.00463912210260979
"680",-5.94343214991329,0.500674816583156,1.05652383395387,0.130335955252262,NA,NA,0.792871371177291,NA,-5.31196696609531,NA,0.387297629339417,NA,NA,8,-107.658039892616,231.384261603413,2.01157862356595,0.00455284752795524
"936",-6.42410321331388,0.523753113453156,0.821440504854089,-0.257175479901392,NA,NA,0.948984326955616,NA,-6.31519309721986,-0.542632783854608,0.411834694654979,NA,NA,9,-106.661102399306,231.407472444277,2.03478946442991,0.00450031523750053
"691",-6.09297068474064,NA,0.983854435304274,NA,NA,-0.204405599705582,0.821665384494194,NA,-5.89357069147385,NA,0.333699868169058,NA,NA,7,-108.736193819741,231.52539284535,2.15270986550249,0.00424264648942745
"3748",-6.02725240732395,0.491922595370376,1.02398435147866,NA,NA,NA,0.763499486532157,NA,-5.25197387381815,NA,0.39044018410753,0.28945121844201,0.14071193751381,9,-106.746525978594,231.578319602854,2.20563662300668,0.00413184429493823
"930",-6.48387396091941,0.477697057627833,NA,NA,NA,NA,0.895606835448745,NA,-6.92037415428147,-0.807869319533653,0.338246914260137,NA,NA,7,-108.777434736041,231.607874677951,2.23519169810382,0.00407123474365158
"1188",-5.97522385426978,0.476830665369039,0.896272115105358,NA,NA,NA,0.617173950625117,NA,-5.41294185159586,NA,NA,0.266431695751677,NA,7,-108.790989945959,231.634985097787,2.26230211793956,0.00401642064966125
"419",-6.19589661879023,NA,0.699718236530325,NA,NA,NA,0.722274922666973,NA,-6.48187118569306,-0.467082721802318,NA,NA,NA,6,-109.818882502425,231.677500104188,2.30481712434093,0.00393194265164835
"180",-6.1382667813994,0.480216284693764,0.916606349800493,NA,NA,-0.294906605615711,0.717076411849355,NA,-5.99954667303756,NA,NA,NA,NA,7,-108.818612811007,231.690230827883,2.31754784803593,0.00390699390205544
"2020",-6.42948442360094,0.529080878797764,0.897991485798561,NA,NA,NA,0.841325795367832,0.289398765384173,-6.47595003258374,-0.655325061140824,0.402880737346824,0.289823798671306,NA,10,-105.830861737299,231.765988877441,2.3933058975941,0.00376176864275872
"4004",-6.38731234954013,0.510833791369634,0.811353803302112,NA,NA,NA,0.899371379803433,NA,-6.31446535148165,-0.505220576402074,0.416963423465777,0.260263841926761,0.145073263988652,10,-105.887535236339,231.879335875523,2.50665289567553,0.00355450471003686
"1708",-6.09899158738628,0.503339979507149,1.0154993669042,NA,0.0685439436473288,NA,0.737819392924142,NA,-5.50672535129744,NA,0.405142925099469,0.283430363263213,NA,9,-106.90391538034,231.893098406345,2.52041542649781,0.00353012918314238
"1187",-5.95442960425996,NA,0.882072225299928,NA,NA,NA,0.609336924464102,NA,-5.60939579023323,NA,NA,0.260050944215574,NA,6,-109.960895644508,231.961526388353,2.58884340850614,0.00341139219076114
"1704",-5.99651296916903,0.504655617038799,1.02547505707238,0.241675699137516,NA,NA,0.764806742664163,NA,-5.39523382316204,NA,0.406849189320123,0.282691502433633,NA,9,-106.947413370823,231.980094387311,2.60741140746421,0.00337986739198054
