,(Intercept),aspect,bldg,dforcore,dfresh,dmarine,elev,pfor,pgra,ptcc,pwet,road,slope,df,logLik,AICc,delta,weight
676,0,5.164186122,5.912517171,NA,NA,NA,5.865962712,NA,-55.33909119,NA,4.236022835,NA,NA,6,-107.6598389,227.3594129,0,0.012434372
932,0,5.433392111,4.621415907,NA,NA,NA,6.866610796,NA,-66.70746099,-4.015013223,4.510851174,NA,NA,7,-106.6678556,227.3887164,0.029303512,0.012253515
1700,0,5.196097001,5.733629075,NA,NA,NA,5.69403513,NA,-55.8849744,NA,4.441530386,2.574714637,NA,7,-106.9535768,227.9601587,0.600745857,0.009208175
675,0,NA,5.664113216,NA,NA,NA,5.695617981,NA,-56.96925814,NA,3.897025692,NA,NA,5,-109.0326351,228.093639,0.734226101,0.008613679
1956,0,5.411883686,4.583671311,NA,NA,NA,6.690059925,NA,-67.19221743,-3.734820784,4.752787615,2.34388581,NA,8,-106.107934,228.2840498,0.924636883,0.007831438
931,0,NA,4.330133355,NA,NA,NA,6.594431182,NA,-67.83557331,-3.778710745,4.059938146,NA,NA,6,-108.1424422,228.3246194,0.965206533,0.007674179
1699,0,NA,5.503847753,NA,NA,NA,5.594835401,NA,-57.72061207,NA,4.09779371,2.507917168,NA,6,-108.3437609,228.7272569,1.367844043,0.006274806
164,0,4.934506639,5.268349539,NA,NA,NA,4.69630506,NA,-56.01810008,NA,NA,NA,NA,5,-109.3679115,228.7641917,1.404778856,0.00615999
692,0,5.190598285,5.748555676,NA,NA,-1.733646741,6.216550401,NA,-59.97449442,NA,4.005111072,NA,NA,7,-107.3608536,228.7747125,1.41529959,0.006127671
2980,0,5.297400149,4.561311383,NA,NA,NA,6.797973507,NA,-65.67183362,-4.102800408,4.318253507,NA,1.397347454,8,-106.4663261,229.0008341,1.641421234,0.005472601
2724,0,5.059407247,5.907278931,NA,NA,NA,5.791280369,NA,-54.45377735,NA,4.070570514,NA,1.264846197,7,-107.493922,229.0408492,1.681436319,0.005364196
163,0,NA,5.150112312,NA,NA,NA,4.577717476,NA,-57.89577169,NA,NA,NA,NA,4,-110.5312958,229.0814952,1.722082333,0.005256279
996,0,5.46047196,4.896433331,NA,NA,NA,6.549724854,1.570116488,-66.87769945,-4.748945953,4.290062161,NA,NA,8,-106.5465447,229.1612713,1.801858392,0.005050743
948,0,5.442746758,4.604673022,NA,NA,-1.090516787,6.980622092,NA,-69.7066181,-3.724161919,4.279833138,NA,NA,8,-106.5584383,229.1850584,1.825645575,0.004991028
1955,0,NA,4.310182071,NA,NA,NA,6.48270788,NA,-68.15751367,-3.49144685,4.297901647,2.299345357,NA,7,-107.5907713,229.2345479,1.875135025,0.004869041
940,0,5.429758993,4.566774745,NA,0.841244043,NA,6.543382443,NA,-69.65475982,-4.033675499,4.496220052,NA,NA,8,-106.6095598,229.2873015,1.927888593,0.004742291
684,0,5.167995744,5.887983247,NA,0.695343562,NA,5.617859389,NA,-56.63099385,NA,4.226362336,NA,NA,7,-107.617988,229.2889812,1.929568319,0.00473831
740,0,5.169612478,5.658187756,NA,NA,NA,6.098674399,-0.706435721,-55.89560272,NA,4.376944861,NA,NA,7,-107.6284835,229.3099723,1.950559407,0.004688838
420,0,5.049184754,4.083606267,NA,NA,NA,5.44874558,NA,-65.93736601,-3.555291621,NA,NA,NA,6,-108.6364284,229.3125918,1.953178935,0.004682701
1716,0,5.26668097,5.511166524,NA,NA,-1.814765782,6.065846575,NA,-61.59294227,NA,4.215666263,2.679900948,NA,8,-106.6307247,229.3296312,1.970218345,0.004642975
